calibration,policy,year,births_per_household_percent,total_births_percent,household_mass_percent,rooms_percent,ownership_pp,dependent_child_ownership_pp,house_price_percent,housing_user_cost_percent
Verified candidate,combined,2051,1.8000541632636535,1.9943226295910055,0.19083336244181126,9.14014346986498,4.092200134373625,9.618298620719656,-13.721178787901723,-13.721178787901733
Verified candidate,combined,2055,1.9068538576686667,2.174177712111347,0.2623217618081375,9.160365490930179,4.149129210094338,9.771617655436726,-13.587223952318483,-13.587223952318473
Verified candidate,combined,2059,2.050567393868419,2.3968525494505455,0.3393270262237902,9.011538622314319,3.977573529538514,9.382283415444448,-13.668224679762176,-13.668224679762165
Verified candidate,combined,2063,2.244343655870251,2.682037142292648,0.4280857705885044,8.695513013300694,4.155135631030205,8.85142412607427,-13.95840922007514,-13.958409220075152
Verified candidate,property-tax-2pct-no-rebate,2023,-1.144990759646336,-1.144990759646336,0.0,-4.923455487313976,-2.3336957822567506,-2.3968669298318312,-7.702272403146127,14.576868070081762
Verified candidate,property-tax-2pct-no-rebate,2027,-1.1447004551586426,-1.1447004551588091,-1.5543122344752192e-13,-5.720799910145081,-2.141327629331269,-2.6866141813101874,-8.922672886254535,13.061883153480803
Verified candidate,property-tax-2pct-no-rebate,2031,-1.170896423466028,-1.170896423466139,-9.992007221626409e-14,-6.206169605925282,-1.7643294838944112,-2.5851871666816684,-9.668940231408719,12.135479249755043
Verified candidate,property-tax-2pct-no-rebate,2035,-1.2103572113484007,-1.210357211348334,8.881784197001252e-14,-6.49341979789706,-1.499636527519943,-2.303572870449966,-10.116608603383327,11.57975115838834
Verified candidate,property-tax-2pct-no-rebate,2039,-1.255954413150373,-1.2559544131503397,2.220446049250313e-14,-6.631593381726986,-1.260743696612876,-1.8079060344979636,-10.323875920931558,11.32245294838592
Verified candidate,property-tax-2pct-no-rebate,2043,-1.3582384270325654,-1.406973397986655,-0.049406022537468175,-6.631716759602623,-1.0414075015074076,-1.2019037780296449,-10.393135778196772,11.236474910409822
Verified candidate,property-tax-2pct-no-rebate,2047,-1.4126251175559101,-1.510664402866435,-0.09944405703814496,-6.5136298002882675,-0.33735742122213974,-0.479643933740459,-10.27479030035604,11.383387023571201
Verified candidate,property-tax-2pct-no-rebate,2051,-1.3631341868325042,-1.5119035707857997,-0.1508253356661715,-6.379859953630929,0.12715150146096477,0.0026798521501780748,-10.15626089599191,11.530527460067908
Verified candidate,property-tax-2pct-no-rebate,2055,-1.4572139571201181,-1.6580169137136336,-0.20377235580304465,-6.259090068657391,0.5060955212379259,0.25043477735997577,-10.030720203412823,11.686371593456425
Verified candidate,property-tax-2pct-no-rebate,2059,-1.5641175396444273,-1.8206422388402421,-0.26060080204912683,-6.2025930516958265,0.5151699582941149,0.12628779325450923,-10.030720203412836,11.686371593456402
Verified candidate,property-tax-2pct-no-rebate,2063,-1.69874755922641,-2.019930120432134,-0.32673292885991856,-6.16231540803962,0.6381862362944801,-0.22208803466498006,-10.065884294183213,11.642719474450836
