age,z_index,z,threshold_prob_0p10,threshold_prob_0p50,threshold_prob_0p90,min_owner_probability,max_owner_probability,owner_probability_lowest_wealth,owner_probability_highest_wealth
62.0,3,1.2267750656993077,0.720930232558139,0.720930232558139,0.720930232558139,0.0,0.9773479700088501,nan,0.9657512903213501
62.0,4,1.5455844104209013,0.720930232558139,0.720930232558139,0.720930232558139,0.0,0.9781932234764099,nan,0.9655609726905823
66.0,0,0.6134533968572546,0.8604651162790695,0.8604651162790695,2.8139534883720927,0.0,0.9769470691680908,nan,0.9645476341247559
66.0,1,0.7728751856900854,0.8604651162790695,0.8604651162790695,2.8139534883720927,0.0,0.9769470691680908,nan,0.9645476341247559
66.0,2,0.9737268645273782,0.8604651162790695,0.8604651162790695,2.8139534883720927,0.0,0.9769470691680908,nan,0.9645476341247559
66.0,3,1.2267750656993077,0.8604651162790695,0.8604651162790695,2.8139534883720927,0.0,0.9769470691680908,nan,0.9645476341247559
66.0,4,1.5455844104209013,0.8604651162790695,0.8604651162790695,2.8139534883720927,0.0,0.9769470691680908,nan,0.9645476341247559
70.0,0,0.6134533968572546,2.2558139534883717,2.395348837209302,2.5348837209302326,0.0,0.9773378968238831,nan,0.9573208689689636
70.0,1,0.7728751856900854,2.2558139534883717,2.395348837209302,2.5348837209302326,0.0,0.9773378968238831,nan,0.9573208689689636
70.0,2,0.9737268645273782,2.2558139534883717,2.395348837209302,2.5348837209302326,0.0,0.9773378968238831,nan,0.9573208689689636
70.0,3,1.2267750656993077,2.2558139534883717,2.395348837209302,2.5348837209302326,0.0,0.9773378968238831,nan,0.9573208689689636
70.0,4,1.5455844104209013,2.2558139534883717,2.395348837209302,2.5348837209302326,0.0,0.9773378968238831,nan,0.9573208689689636
74.0,0,0.6134533968572546,1.9767441860465116,2.116279069767442,2.395348837209302,0.0,0.9770047664642334,nan,0.949393093585968
74.0,1,0.7728751856900854,1.9767441860465116,2.116279069767442,2.395348837209302,0.0,0.9770047664642334,nan,0.949393093585968
74.0,2,0.9737268645273782,1.9767441860465116,2.116279069767442,2.395348837209302,0.0,0.9770047664642334,nan,0.949393093585968
74.0,3,1.2267750656993077,1.9767441860465116,2.116279069767442,2.395348837209302,0.0,0.9770047664642334,nan,0.949393093585968
74.0,4,1.5455844104209013,1.9767441860465116,2.116279069767442,2.395348837209302,0.0,0.9770047664642334,nan,0.949393093585968
78.0,0,0.6134533968572546,1.6976744186046506,1.837209302325581,4.348837209302326,0.0,0.9752318859100342,nan,0.9367575645446777
78.0,1,0.7728751856900854,1.6976744186046506,1.837209302325581,4.348837209302326,0.0,0.9752318859100342,nan,0.9367575645446777
78.0,2,0.9737268645273782,1.6976744186046506,1.837209302325581,4.348837209302326,0.0,0.9752318859100342,nan,0.9367575645446777
78.0,3,1.2267750656993077,1.6976744186046506,1.837209302325581,4.348837209302326,0.0,0.9752318859100342,nan,0.9367575645446777
78.0,4,1.5455844104209013,1.6976744186046506,1.837209302325581,4.348837209302326,0.0,0.9752318859100342,nan,0.9367575645446777
82.0,0,0.6134533968572546,1.27906976744186,1.4186046511627906,2.674418604651163,0.0,0.9836448431015015,nan,0.918519914150238
82.0,1,0.7728751856900854,1.27906976744186,1.4186046511627906,2.674418604651163,0.0,0.9836448431015015,nan,0.918519914150238
82.0,2,0.9737268645273782,1.27906976744186,1.4186046511627906,2.674418604651163,0.0,0.9836448431015015,nan,0.918519914150238
82.0,3,1.2267750656993077,1.27906976744186,1.4186046511627906,2.674418604651163,0.0,0.9836448431015015,nan,0.918519914150238
82.0,4,1.5455844104209013,1.27906976744186,1.4186046511627906,2.674418604651163,0.0,0.9836448431015015,nan,0.918519914150238
