wealth_measure,group,parent_status,tenure_status,wealth,liquid_wealth,total_wealth,ergodic_mass,population_share,within_group_share,group_population_share,total_population_mass,liquidated_housing_discount_1_minus_psi
total_wealth_net_liquidation,all,all,all,-0.022264609886,nan,-0.022264609886,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.0,nan,0.0,0.039743807698623554,0.039743807698625296,0.03974380769862529,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.006747962012,nan,0.006747962012,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.033434952515,nan,0.033434952515,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.054593967247,nan,0.054593967247,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.085932120541,nan,0.085932120541,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.117270273835,nan,0.117270273835,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.162790697674,nan,0.162790697674,0.03746858444839852,0.03746858444840016,0.037468584448400157,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.194128850968,nan,0.194128850968,1.6875033091964932e-07,1.6875033091965674e-07,1.6875033091965668e-07,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.225467004262,nan,0.225467004262,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.256805157555,nan,0.256805157555,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.302325581395,nan,0.302325581395,0.03084162125402752,0.030841621254028874,0.030841621254028867,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.333663734689,nan,0.333663734689,0.00013389077721941096,0.00013389077721941684,0.00013389077721941682,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.365001887983,nan,0.365001887983,0.0001250442003569685,0.00012504420035697398,0.00012504420035697395,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.396340041276,nan,0.396340041276,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.441860465116,nan,0.441860465116,0.019750635699169287,0.019750635699170155,0.019750635699170148,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.47319861841,nan,0.47319861841,0.00014060880338570198,0.00014060880338570813,0.0001406088033857081,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.504536771704,nan,0.504536771704,0.0021928964179474663,0.0021928964179475626,0.002192896417947562,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.535874924997,nan,0.535874924997,2.1734720116934777e-05,2.173472011693573e-05,2.1734720116935726e-05,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.581395348837,nan,0.581395348837,0.013840861112717179,0.013840861112717786,0.013840861112717782,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.612733502131,nan,0.612733502131,0.00014618099710167614,0.00014618099710168257,0.0001461809971016825,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.644071655425,nan,0.644071655425,0.0025528631804022407,0.0025528631804023526,0.002552863180402352,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.675409808718,nan,0.675409808718,0.0015107195422223337,0.0015107195422224,0.0015107195422223996,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.706747962012,nan,0.706747962012,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.720930232558,nan,0.720930232558,0.013755984835376196,0.0137559848353768,0.013755984835376796,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.733434952515,nan,0.733434952515,1.3486996297708129e-05,1.348699629770872e-05,1.3486996297708717e-05,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,0.752268385852,nan,0.752268385852,8.989561147254318e-05,8.989561147254712e-05,8.98956114725471e-05,1.0000000000000002,0.9999999999999561,0.94
