path,name,line,end,lines
code/model/intergen_eqscale_seq_optimized/kernels.py,tenure_logit_kernel,672,757,86
code/model/intergen_eqscale_seq_optimized/kernels.py,full_renter_block_kernel,761,910,150
code/model/intergen_eqscale_seq_optimized/kernels.py,full_owner_block_kernel,914,1044,131
code/model/intergen_eqscale_seq_optimized/kernels.py,location_logit_kernel,1048,1102,55
code/model/intergen_eqscale_seq_optimized/kernels.py,eval_owner_block_kernel,1106,1159,54
code/model/intergen_eqscale_seq_optimized/kernels.py,njit,21,25,5
code/model/intergen_eqscale_seq_optimized/kernels.py,deco,22,23,2
code/model/intergen_eqscale_seq_optimized/local_panel.py,run_local_panel,50,273,224
code/model/intergen_eqscale_seq_optimized/local_panel.py,run_global_de_panel,276,507,232
code/model/intergen_eqscale_seq_optimized/local_panel.py,run_local_polish,510,822,313
code/model/intergen_eqscale_seq_optimized/local_panel.py,init_panel_worker,825,831,7
code/model/intergen_eqscale_seq_optimized/local_panel.py,run_local_panel_case,834,912,79
code/model/intergen_eqscale_seq_optimized/local_panel.py,local_panel_candidates,915,937,23
code/model/intergen_eqscale_seq_optimized/local_panel.py,latin_hypercube,940,945,6
code/model/intergen_eqscale_seq_optimized/local_panel.py,theta_from_global_unit,948,961,14
code/model/intergen_eqscale_seq_optimized/local_panel.py,global_unit_from_theta,964,984,21
code/model/intergen_eqscale_seq_optimized/local_panel.py,keep_internal_candidate,987,1004,18
code/model/intergen_eqscale_seq_optimized/local_panel.py,keep_internal_theta,1007,1010,4
code/model/intergen_eqscale_seq_optimized/local_panel.py,draw_internal_candidate,1013,1046,34
code/model/intergen_eqscale_seq_optimized/local_panel.py,income_process_overrides,1049,1116,68
code/model/intergen_eqscale_seq_optimized/local_panel.py,stationary_distribution,1119,1128,10
code/model/intergen_eqscale_seq_optimized/local_panel.py,income_process_fingerprint,1131,1141,11
code/model/intergen_eqscale_seq_optimized/local_panel.py,ranking_targets_without_age,1144,1147,4
code/model/intergen_eqscale_seq_optimized/local_panel.py,is_better_record,1150,1156,7
code/model/intergen_eqscale_seq_optimized/local_panel.py,record_is_strictly_converged,1159,1160,2
code/model/intergen_eqscale_seq_optimized/local_panel.py,de_candidate_is_acceptable,1163,1166,4
code/model/intergen_eqscale_seq_optimized/local_panel.py,record_selection_loss,1169,1173,5
code/model/intergen_eqscale_seq_optimized/local_panel.py,record_sort_key,1176,1181,6
code/model/intergen_eqscale_seq_optimized/local_panel.py,strict_records,1184,1185,2
code/model/intergen_eqscale_seq_optimized/local_panel.py,append_jsonl,1188,1190,3
code/model/intergen_eqscale_seq_optimized/local_panel.py,write_panel_summary_tables,1193,1220,28
code/model/intergen_eqscale_seq_optimized/local_panel.py,write_panel_plots,1223,1239,17
code/model/intergen_eqscale_seq_optimized/local_panel.py,plot_best_moment_fit,1242,1257,16
