f_c_y,control,K,rows
1998,0,1,12
1998,0,3,15
1998,0,5,14
1998,0,7,11
1998,0,9,11
1998,0,11,8
1998,0,13,5
1998,0,15,6
1998,0,17,2
1998,0,19,2
1998,0,21,4
1999,0,-18,1
1999,0,-17,1
1999,0,-15,2
1999,0,-14,2
1999,0,-13,2
1999,0,-12,1
1999,0,-11,4
1999,0,-10,3
1999,0,-9,3
1999,0,-8,6
1999,0,-7,6
1999,0,-6,5
1999,0,-5,9
1999,0,-4,12
1999,0,-3,16
1999,0,-2,22
1999,0,0,23
1999,0,2,10
1999,0,4,10
1999,0,6,11
1999,0,8,10
1999,0,10,10
1999,0,12,9
1999,0,14,8
1999,0,16,6
1999,0,18,6
1999,0,20,4
2000,0,-16,1
2000,0,-15,2
2000,0,-14,1
2000,0,-12,2
2000,0,-11,1
2000,0,-10,2
2000,0,-9,3
2000,0,-8,2
2000,0,-7,2
2000,0,-6,9
2000,0,-5,7
2000,0,-4,7
2000,0,-3,22
2000,0,-1,15
2000,0,1,12
2000,0,3,10
2000,0,5,9
2000,0,7,8
2000,0,9,5
2000,0,11,7
2000,0,13,9
2000,0,15,7
2000,0,17,4
2000,0,19,4
2001,0,-25,1
2001,0,-23,1
2001,0,-12,2
2001,0,-11,3
2001,0,-10,3
2001,0,-9,4
2001,0,-8,5
2001,0,-7,7
2001,0,-6,5
2001,0,-5,9
2001,0,-4,14
2001,0,-2,42
2001,0,0,19
2001,0,2,22
2001,0,4,19
2001,0,6,16
2001,0,8,13
2001,0,10,12
2001,0,12,12
2001,0,14,9
2001,0,16,11
2001,0,18,5
2002,0,-15,1
2002,0,-14,2
2002,0,-13,1
2002,0,-12,1
2002,0,-10,2
2002,0,-9,5
2002,0,-8,4
2002,0,-7,3
2002,0,-6,11
2002,0,-5,12
2002,0,-3,28
2002,0,-1,18
2002,0,1,15
2002,0,3,13
2002,0,5,10
2002,0,7,4
2002,0,9,7
2002,0,11,8
2002,0,13,8
2002,0,15,6
2002,0,17,6
2003,0,-19,1
2003,0,-15,1
2003,0,-14,2
2003,0,-13,1
2003,0,-12,2
2003,0,-11,2
2003,0,-10,4
2003,0,-9,3
2003,0,-8,7
2003,0,-7,6
2003,0,-6,8
2003,0,-4,19
2003,0,-2,37
2003,0,0,25
2003,0,2,20
2003,0,4,15
2003,0,6,15
2003,0,8,10
2003,0,10,8
2003,0,12,11
2003,0,14,7
2003,0,16,4
2004,0,-19,1
2004,0,-18,1
2004,0,-17,1
2004,0,-16,2
2004,0,-15,3
2004,0,-14,3
2004,0,-13,3
2004,0,-12,4
2004,0,-11,6
2004,0,-10,8
2004,0,-9,7
2004,0,-8,6
2004,0,-7,13
2004,0,-5,23
2004,0,-3,51
2004,0,-1,32
2004,0,1,27
2004,0,3,26
2004,0,5,16
2004,0,7,14
2004,0,9,12
2004,0,11,12
2004,0,13,12
2004,0,15,9
2005,0,-16,1
2005,0,-13,2
2005,0,-12,3
2005,0,-11,5
2005,0,-10,7
2005,0,-9,12
