earnings_tercile,wealth_quintile,b_model_units,z_state_1based,annual_gross_income_model_units,joint_probability,R_b_plus_Y,cashflow_positive,within_selected_B_grid_support
2,3,0.02409348445801367,3,0.0832221449135139,0,0.1114081139469482,True,True
2,3,0.02409348445801367,4,0.1218354457042188,0,0.150021414737653,True,True
2,3,0.02409348445801367,5,0.1783644947552324,0,0.2065504637886667,True,True
2,3,0.02409348445801367,6,0.2611218172626402,0,0.2893077862960745,True,True
2,3,0.02409348445801367,7,0.3822767728751881,0.01227624131566301,0.4104627419086223,True,True
2,3,0.02409348445801367,8,0.5596450446455145,0.04214337102191385,0.5878310136789487,True,True
2,3,0.02409348445801367,9,0.8193084126995582,0.01242787641240284,0.8474943817329925,True,True
2,3,0.02409348445801367,10,1.19945004703018,0,1.227636016063614,True,True
2,3,0.02409348445801367,11,1.75596929437153,0,1.784155263404964,True,True
2,3,0.02409348445801367,12,2.570701606465538,0,2.598887575498972,True,True
2,3,0.02409348445801367,13,3.763452339780069,0,3.791638308813503,True,True
2,3,0.02409348445801367,14,5.509613981713583,0,5.537799950747018,True,True
2,3,0.02409348445801367,15,8.065957394127043,0,8.094143363160477,True,True
2,4,0.08414184045636337,1,0.0388301798152725,0,0.1372642321273035,True,True
2,4,0.08414184045636337,2,0.05684655531872104,0,0.155280607630752,True,True
2,4,0.08414184045636337,3,0.0832221449135139,0,0.1816561972255449,True,True
2,4,0.08414184045636337,4,0.1218354457042188,0,0.2202694980162498,True,True
2,4,0.08414184045636337,5,0.1783644947552324,0,0.2767985470672635,True,True
2,4,0.08414184045636337,6,0.2611218172626402,0,0.3595558695746712,True,True
2,4,0.08414184045636337,7,0.3822767728751881,0.01216244594470622,0.4807108251872191,True,True
2,4,0.08414184045636337,8,0.5596450446455145,0.04175272046239042,0.6580790969575455,True,True
2,4,0.08414184045636337,9,0.8193084126995582,0.01231267545062717,0.9177424650115893,True,True
2,4,0.08414184045636337,10,1.19945004703018,0,1.297884099342211,True,True
2,4,0.08414184045636337,11,1.75596929437153,0,1.854403346683561,True,True
2,4,0.08414184045636337,12,2.570701606465538,0,2.669135658777569,True,True
2,4,0.08414184045636337,13,3.763452339780069,0,3.8618863920921,True,True
2,4,0.08414184045636337,14,5.509613981713583,0,5.608048034025614,True,True
2,4,0.08414184045636337,15,8.065957394127043,0,8.164391446439074,True,True
2,5,0.6203181074108436,1,0.0388301798152725,0,0.7645146276928474,True,True
2,5,0.6203181074108436,2,0.05684655531872104,0,0.782531003196296,True,True
2,5,0.6203181074108436,3,0.0832221449135139,0,0.8089065927910888,True,True
2,5,0.6203181074108436,4,0.1218354457042188,0,0.8475198935817937,True,True
2,5,0.6203181074108436,5,0.1783644947552324,0,0.9040489426328073,True,True
2,5,0.6203181074108436,6,0.2611218172626402,0,0.9868062651402152,True,True
2,5,0.6203181074108436,7,0.3822767728751881,0.01224979647806445,1.107961220752763,True,True
2,5,0.6203181074108436,8,0.5596450446455145,0.04205258797408402,1.285329492523089,True,True
2,5,0.6203181074108436,9,0.8193084126995582,0.01240110493040194,1.544992860577133,True,True
2,5,0.6203181074108436,10,1.19945004703018,0,1.925134494907755,True,True
2,5,0.6203181074108436,11,1.75596929437153,0,2.481653742249105,True,True
2,5,0.6203181074108436,12,2.570701606465538,0,3.296386054343113,True,True
2,5,0.6203181074108436,13,3.763452339780069,0,4.489136787657644,True,True
2,5,0.6203181074108436,14,5.509613981713583,0,6.235298429591158,True,True
2,5,0.6203181074108436,15,8.065957394127043,0,8.791641842004617,True,True
3,1,-0.2603317967059291,1,0.0388301798152725,0,-0.2657212010013386,False,True
3,1,-0.2603317967059291,2,0.05684655531872104,0,-0.24770482549789,False,True
3,1,-0.2603317967059291,3,0.0832221449135139,0,-0.2213292359030971,False,True
3,1,-0.2603317967059291,4,0.1218354457042188,0,-0.1827159351123923,False,True
3,1,-0.2603317967059291,5,0.1783644947552324,0,-0.1261868860613786,False,True
3,1,-0.2603317967059291,6,0.2611218172626402,0,-0.04342956355397082,False,True
3,1,-0.2603317967059291,7,0.3822767728751881,0,0.07772539205857704,True,True
3,1,-0.2603317967059291,8,0.5596450446455145,0,0.2550936638289034,True,True
3,1,-0.2603317967059291,9,0.8193084126995582,0.02436653478907421,0.5147570318829472,True,True
3,1,-0.2603317967059291,10,1.19945004703018,0.02450214364425668,0.8948986662135691,True,True
