f_c_y,control,K,rows,unsupported
1984,0,-12,4,0
1984,0,-11,6,0
1984,0,-10,9,0
1984,0,-9,22,0
1984,0,-8,30,0
1984,0,-7,36,0
1984,0,-6,43,0
1984,0,-5,83,0
1984,0,-4,106,0
1984,0,-3,118,0
1984,0,-2,134,0
1984,0,-1,153,0
1984,0,0,175,0
1984,0,1,172,0
1984,0,2,167,0
1984,0,3,162,0
1984,0,4,164,0
1984,0,5,162,0
1984,0,6,157,0
1984,0,7,153,0
1984,0,8,158,0
1984,0,9,149,0
1984,0,10,166,0
1984,0,11,162,0
1984,0,12,158,0
1984,0,13,108,0
1984,0,15,105,0
1984,0,17,103,0
1984,0,19,102,0
1984,0,21,102,0
1984,0,23,100,0
1984,0,25,94,0
1984,0,27,85,0
1984,0,29,87,0
1984,0,31,80,0
1984,0,33,80,0
1984,0,35,75,0
1985,0,-17,1,0
1985,0,-16,1,0
1985,0,-15,2,0
1985,0,-14,2,0
1985,0,-13,3,0
1985,0,-12,4,0
1985,0,-11,5,0
1985,0,-10,13,0
1985,0,-9,14,0
1985,0,-8,21,0
1985,0,-7,26,0
1985,0,-6,52,0
1985,0,-5,68,0
1985,0,-4,86,0
1985,0,-3,98,0
1985,0,-2,109,0
1985,0,-1,127,0
1985,0,0,135,0
1985,0,1,136,0
1985,0,2,129,0
1985,0,3,125,0
1985,0,4,117,0
1985,0,5,115,0
1985,0,6,113,0
1985,0,7,111,0
1985,0,8,105,0
1985,0,9,115,0
1985,0,10,101,0
1985,0,11,97,0
1985,0,12,86,0
1985,0,14,81,0
1985,0,16,77,0
1985,0,18,75,0
1985,0,20,78,0
1985,0,22,73,0
1985,0,24,76,0
1985,0,26,73,0
1985,0,28,71,0
1985,0,30,72,0
1985,0,32,66,0
1985,0,34,68,0
1986,0,-18,4,0
1986,0,-17,4,0
1986,0,-16,6,0
1986,0,-15,7,0
1986,0,-14,9,0
1986,0,-13,9,0
1986,0,-12,13,0
1986,0,-11,22,0
1986,0,-10,24,0
1986,0,-9,28,0
1986,0,-8,39,0
1986,0,-7,70,0
1986,0,-6,86,0
1986,0,-5,92,0
1986,0,-4,105,0
1986,0,-3,128,0
1986,0,-2,140,0
1986,0,-1,151,0
1986,0,0,166,0
1986,0,1,167,0
1986,0,2,161,0
1986,0,3,155,0
1986,0,4,155,0
1986,0,5,150,0
1986,0,6,148,0
1986,0,7,142,0
1986,0,8,148,0
1986,0,9,140,0
1986,0,10,134,0
1986,0,11,101,0
1986,0,13,101,0
1986,0,15,98,0
1986,0,17,99,0
1986,0,19,94,0
1986,0,21,91,0
1986,0,23,93,0
1986,0,25,91,0
1986,0,27,85,0
1986,0,29,80,0
1986,0,31,79,0
1986,0,33,74,0
1987,0,-19,4,0
1987,0,-18,4,0
1987,0,-17,4,0
1987,0,-16,5,0
1987,0,-15,6,0
1987,0,-14,9,0
1987,0,-13,10,0
