cell,form,psi_child,kappa_fert,gamma_e,CF,childless,joint_distance,own_family_gap,share_3plus,pp12_flow,pp23_flow,mean_age_first_birth,market_residual
50,sqrt,-0.5,0.5,0.0,0.1879188072220876,0.8200334036757896,12.115882342490114,0.08114028815577556,0.00022582307632591284,0.042430421781007546,0.02957325098569525,33.57026125830447,1.1710251467336068e-06
51,sqrt,-0.5,1.0,0.0,0.6557223880244394,0.4580831112321809,2.4969791860073474,0.06572803700025232,0.012163426291259159,0.17858218571440118,0.12568547973471342,29.850722629177014,2.1644081158635796e-06
52,sqrt,-0.5,1.8,0.0,1.038463546307911,0.25576305160514873,0.34020432447621507,0.06846235093715225,0.04819786108233699,0.30467392540144494,0.21255985784407613,27.925255892009833,7.638832407199065e-06
53,sqrt,-0.5,3.0,0.0,1.2578802889437588,0.17220726480634566,0.1255102384356854,0.07295746922269664,0.08327819617734505,0.3787156681589825,0.26564180675650195,26.898993373289912,4.5743848403633417e-07
54,sqrt,-0.5,6.0,0.0,1.4236072682972314,0.12229259138240205,0.18859813795500488,0.07782534374046085,0.11748408289671457,0.4345663937776878,0.3080158956118973,26.12072939902834,5.066489916416928e-06
55,sqrt,-0.5,10.0,0.0,1.4883982842621717,0.10556587511262581,0.2424330999897482,0.0800091056848325,0.1327486329191872,0.45628410381516354,0.32527175873681563,25.811627386526602,1.2951840842090662e-05
56,sqrt,-0.5,15.9109,0.0,1.5238832017039095,0.09703121914336099,0.27635981128341347,0.08138347083188324,0.14157257822869715,0.4681366840938851,0.334914330933311,25.64064308566931,4.417746211678965e-06
57,sqrt,0.0,0.5,0.0,1.430613097455204,0.11868744831164724,0.20050066522320129,0.08925370775318703,0.11942325284004587,0.43356694694425135,0.3125379617291417,26.156190023215693,1.774747358869825e-05
58,sqrt,0.0,1.0,0.0,1.5073838021687467,0.10018350110407974,0.26402350007790576,0.08658439590908573,0.1376395966688769,0.46106274795235047,0.3317641114210834,25.753493031351244,4.52041467719688e-06
59,sqrt,0.0,1.8,0.0,1.5410985831778843,0.09264744211299275,0.2958614211319696,0.08539306571137312,0.14609966733503574,0.47303166428974186,0.3403948223019015,25.575301889462107,4.246820008945544e-06
60,sqrt,0.0,3.0,0.0,1.5578098771338031,0.08904220246405851,0.3123335344950527,0.08478121566917735,0.15039929598581867,0.4789388329172457,0.34472080381316833,25.486639035578463,4.464138631371759e-06
61,sqrt,0.0,6.0,0.0,1.5702775225669194,0.08640746509017615,0.324884463876844,0.0842752173324795,0.1536531243201629,0.4833343051468945,0.34796954278743014,25.42032130766144,5.988060189026246e-06
62,sqrt,0.0,10.0,0.0,1.5752476890915985,0.08537022316920392,0.3299449141027598,0.08414694954154472,0.1549613113969942,0.4850837882510663,0.3492699219076341,25.39384097574937,5.109742801086734e-06
63,sqrt,0.0,15.9109,0.0,1.5780129443139028,0.08479631696554554,0.33277397405867254,0.08404371098101587,0.1556918761464868,0.48605643048784136,0.34999472585509994,25.379097040004314,7.0318262405867e-06
64,sqrt,0.5,0.5,0.0,2.385467619313291,0.001219734677031085,1.0464688483590505,0.1838298228328994,0.47123991304496365,0.7278392466063952,0.648241221710409,20.761842728089317,3.3346613906799726e-06
65,sqrt,0.5,1.0,0.0,2.1488714750373337,0.009352655354314699,0.917467711258676,0.1377487151870775,0.35696132887674575,0.6646949321594692,0.5421003933175103,22.312227352716892,1.459961896629133e-06
66,sqrt,0.5,1.8,0.0,1.950098852690961,0.025431290008610795,0.7480331770402425,0.11344637900112575,0.27542562150539684,0.605328558519933,0.46687509853591025,23.464610636645286,1.269582449017888e-05
67,sqrt,0.5,3.0,0.0,1.8191846737561428,0.04163844967609856,0.6087459624235599,0.10046759905159108,0.22861771015448862,0.5642529481776241,0.42277242461851716,24.168433626385703,9.902860240413167e-06
