f_c_y,control,K,rows
1979,0,40,2
1980,0,-7,1
1980,0,-6,3
1980,0,-5,13
1980,0,-4,15
1980,0,-3,19
1980,0,-2,22
1980,0,-1,29
1980,0,0,30
1980,0,1,26
1980,0,5,25
1980,0,6,11
1980,0,7,23
1980,0,8,17
1980,0,9,13
1980,0,10,13
1980,0,11,22
1980,0,12,13
1980,0,13,15
1980,0,14,14
1980,0,15,15
1980,0,16,13
1980,0,17,6
1980,0,19,9
1980,0,21,9
1980,0,23,16
1980,0,25,5
1980,0,27,11
1980,0,29,12
1980,0,31,8
1980,0,33,9
1980,0,35,6
1980,0,37,9
1980,0,39,6
1981,0,-10,1
1981,0,-8,5
1981,0,-7,5
1981,0,-6,7
1981,0,-5,8
1981,0,-4,12
1981,0,-3,15
1981,0,-2,17
1981,0,-1,30
1981,0,0,24
1981,0,4,16
1981,0,5,21
1981,0,6,21
1981,0,7,19
1981,0,8,14
1981,0,9,15
1981,0,10,9
1981,0,11,14
1981,0,12,14
1981,0,13,12
1981,0,14,9
1981,0,15,9
1981,0,16,10
1981,0,18,13
1981,0,20,9
1981,0,22,9
1981,0,24,6
1981,0,26,7
1981,0,28,9
1981,0,30,8
1981,0,32,10
1981,0,34,6
1981,0,36,8
1981,0,38,6
1982,0,-13,1
1982,0,-12,2
1982,0,-11,1
1982,0,-10,2
1982,0,-9,4
1982,0,-8,3
1982,0,-7,6
1982,0,-6,10
1982,0,-5,16
1982,0,-4,14
1982,0,-3,19
1982,0,-2,21
1982,0,-1,27
1982,0,3,33
1982,0,4,27
1982,0,5,26
1982,0,6,21
1982,0,7,17
1982,0,8,24
1982,0,9,22
1982,0,10,8
1982,0,11,17
1982,0,12,13
1982,0,13,9
1982,0,14,17
1982,0,15,7
1982,0,17,17
1982,0,19,11
1982,0,21,10
1982,0,23,9
1982,0,25,9
1982,0,27,10
1982,0,29,13
1982,0,31,8
1982,0,33,4
1982,0,35,5
1982,0,37,6
1983,0,-12,1
1983,0,-11,2
1983,0,-10,2
1983,0,-9,3
1983,0,-8,7
1983,0,-7,9
1983,0,-6,9
1983,0,-5,14
1983,0,-4,15
1983,0,-3,22
1983,0,-2,28
1983,0,2,37
1983,0,3,20
1983,0,4,36
1983,0,5,23
1983,0,6,25
1983,0,7,26
1983,0,8,21
1983,0,9,18
1983,0,10,16
1983,0,11,12
1983,0,12,20
1983,0,13,11
1983,0,14,6
1983,0,16,15
1983,0,18,13
1983,0,20,14
1983,0,22,14
1983,0,24,14
1983,0,26,11
1983,0,28,11
1983,0,30,10
1983,0,32,6
1983,0,34,11
1983,0,36,7
1984,0,-13,1
1984,0,-12,3
1984,0,-11,4
1984,0,-9,3
1984,0,-8,6
1984,0,-7,5
1984,0,-6,6
1984,0,-5,8
1984,0,-4,12
1984,0,-3,15
1984,0,1,27
1984,0,2,17
1984,0,3,21
1984,0,4,20
1984,0,5,18
1984,0,6,18
1984,0,7,21
1984,0,8,14
1984,0,9,11
1984,0,10,19
1984,0,11,7
1984,0,12,11
1984,0,13,7
1984,0,15,16
1984,0,17,13
1984,0,19,11
1984,0,21,10
1984,0,23,9
1984,0,25,5
1984,0,27,10
1984,0,29,9
1984,0,31,3
1984,0,33,5
1984,0,35,6
1987,0,-18,2
1987,0,-17,1
1987,0,-16,1
1987,0,-14,2
1987,0,-12,3
1987,0,-11,5
1987,0,-10,6
1987,0,-9,6
1987,0,-8,8
1987,0,-7,13
1987,0,-6,11
1987,0,-2,25
1987,0,-1,22
1987,0,0,22
1987,0,1,23
1987,0,2,19
1987,0,3,15
1987,0,4,25
1987,0,5,21
1987,0,6,13
1987,0,7,13
1987,0,8,10
1987,0,9,10
1987,0,10,6
1987,0,12,13
1987,0,14,6
1987,0,16,17
1987,0,18,10
1987,0,20,14
1987,0,22,14
1987,0,24,10
1987,0,26,11
1987,0,28,8
1987,0,30,9
1987,0,32,4
1988,0,-13,3
1988,0,-11,4
1988,0,-10,4
1988,0,-9,2
1988,0,-8,1
1988,0,-7,5
1988,0,-3,15
1988,0,-2,23
1988,0,-1,22
1988,0,0,34
1988,0,1,20
1988,0,2,24
1988,0,3,21
1988,0,4,16
1988,0,5,14
1988,0,6,13
1988,0,7,7
1988,0,8,12
1988,0,9,14
1988,0,11,21
1988,0,13,11
1988,0,15,19
1988,0,17,20
1988,0,19,19
1988,0,21,17
1988,0,23,9
1988,0,25,9
1988,0,27,7
1988,0,29,4
1988,0,31,8
1989,0,-15,1
1989,0,-14,1
1989,0,-13,4
1989,0,-12,3
1989,0,-11,5
1989,0,-10,7
1989,0,-9,4
1989,0,-8,8
1989,0,-4,13
1989,0,-3,15
1989,0,-2,16
1989,0,-1,20
1989,0,0,19
1989,0,1,24
1989,0,2,16
1989,0,3,15
1989,0,4,13
1989,0,5,8
1989,0,6,12
1989,0,7,7
1989,0,8,9
1989,0,10,8
1989,0,12,12
1989,0,14,12
1989,0,16,9
1989,0,18,7
1989,0,20,7
1989,0,22,8
1989,0,24,8
1989,0,26,11
1989,0,28,6
1989,0,30,6
1990,0,-13,2
1990,0,-12,4
1990,0,-11,2
1990,0,-10,2
1990,0,-9,5
1990,0,-5,6
1990,0,-4,7
1990,0,-3,8
1990,0,-2,14
1990,0,-1,16
1990,0,0,23
1990,0,1,20
1990,0,2,13
1990,0,3,19
1990,0,4,23
1990,0,5,12
1990,0,6,16
1990,0,7,11
1990,0,9,15
1990,0,11,14
1990,0,13,14
1990,0,15,18
1990,0,17,13
1990,0,19,13
1990,0,21,10
1990,0,23,10
1990,0,25,7
1990,0,27,8
1990,0,29,8
1991,0,-14,1
1991,0,-13,1
1991,0,-12,6
1991,0,-11,7
1991,0,-10,4
1991,0,-6,7
1991,0,-5,13
1991,0,-4,17
1991,0,-3,16
1991,0,-2,19
1991,0,-1,30
1991,0,0,26
1991,0,1,15
1991,0,2,18
1991,0,3,21
1991,0,4,20
1991,0,5,18
1991,0,6,10
1991,0,8,19
1991,0,10,14
1991,0,12,18
1991,0,14,18
1991,0,16,21
1991,0,18,15
1991,0,20,13
1991,0,22,11
1991,0,24,14
1991,0,26,12
1991,0,28,10
1992,0,-17,2
1992,0,-16,2
1992,0,-15,1
1992,0,-14,2
1992,0,-13,2
1992,0,-12,1
1992,0,-11,5
1992,0,-7,8
1992,0,-6,11
1992,0,-5,12
1992,0,-4,10
1992,0,-3,11
1992,0,-2,16
1992,0,-1,20
1992,0,0,14
1992,0,1,16
1992,0,2,14
1992,0,3,8
1992,0,4,10
1992,0,5,12
1992,0,7,19
1992,0,9,11
1992,0,11,15
1992,0,13,15
1992,0,15,12
1992,0,17,12
1992,0,19,13
1992,0,21,13
1992,0,23,9
1992,0,25,8
1992,0,27,6
1993,0,-15,1
1993,0,-14,1
1993,0,-13,1
1993,0,-12,3
1993,0,-8,6
1993,0,-7,5
1993,0,-6,7
1993,0,-5,10
1993,0,-4,12
1993,0,-3,12
1993,0,-2,12
1993,0,-1,21
1993,0,0,19
1993,0,1,27
1993,0,2,15
1993,0,3,20
1993,0,4,20
1993,0,6,22
1993,0,8,16
1993,0,10,19
1993,0,12,15
1993,0,14,12
1993,0,16,17
1993,0,18,10
1993,0,20,13
1993,0,22,13
1993,0,24,14
1993,0,26,8
1994,0,-19,1
1994,0,-18,1
1994,0,-17,2
1994,0,-16,2
1994,0,-15,2
1994,0,-14,2
1994,0,-13,3
1994,0,-9,5
1994,0,-8,8
1994,0,-7,7
1994,0,-6,9
1994,0,-5,18
1994,0,-4,13
1994,0,-3,13
1994,0,-2,13
1994,0,-1,13
1994,0,0,29
1994,0,1,25
1994,0,2,23
1994,0,3,14
1994,0,5,27
1994,0,7,24
1994,0,9,22
1994,0,11,18
1994,0,13,20
1994,0,15,18
1994,0,17,18
1994,0,19,17
1994,0,21,25
1994,0,23,18
1994,0,25,15
1995,0,-18,1
1995,0,-10,3
1995,0,-9,4
1995,0,-8,2
1995,0,-7,2
1995,0,-6,3
1995,0,-5,11
1995,0,-4,5
1995,0,-3,6
1995,0,-2,12
1995,0,-1,16
1995,0,0,18
1995,0,1,11
1995,0,2,16
1995,0,4,16
1995,0,6,18
1995,0,8,15
1995,0,10,20
1995,0,12,19
1995,0,14,10
1995,0,16,10
1995,0,18,7
1995,0,20,10
1995,0,22,10
1995,0,24,6
1996,0,-16,1
1996,0,-15,1
1996,0,-11,3
1996,0,-10,2
1996,0,-9,1
1996,0,-8,3
1996,0,-7,4
1996,0,-6,7
1996,0,-5,5
1996,0,-4,9
1996,0,-3,12
1996,0,-2,12
1996,0,-1,11
1996,0,0,19
1996,0,1,15
1996,0,3,21
1996,0,5,19
