age,age_group,center_share,diagnostic,expected_completed_fertility_choice,expected_fertility_choice,mass,mass_share,mean_housing,mean_income,mean_liquid_wealth,own_rate,share,tenure,wealth_bin,z
44.0,,0.419191216329408,age_z,,nan,0.007843090747823878,0.470585444870259,7.413696842262802,0.821,-0.4005347667007402,0.7309104958950184,,,,0.0
45.0,,0.4235945322631046,age_z,,nan,0.00784310656022426,0.47058639361434773,7.426213994170895,0.808685,-0.38605129619088335,0.7532024590156682,,,,0.0
46.0,,0.42801344643771305,age_z,,nan,0.007843116996408472,0.4705870197854864,7.434517079063734,0.808685,-0.390934272601543,0.7775139198986654,,,,0.0
47.0,,0.43244478083256144,age_z,,nan,0.00784312388428975,0.47058743305843864,7.442564157254541,0.8086850000000003,-0.3786603332929026,0.7981876475944646,,,,0.0
48.0,,0.4368403620937289,age_z,,nan,0.007843128430291156,0.4705877058185822,7.448665717492057,0.808685,-0.3793721669288528,0.8231583719267571,,,,0.0
49.0,,0.4411587807095721,age_z,,nan,0.00784313143065225,0.47058788584026867,7.449055415246952,0.808685,-0.3829397436625872,0.8497215405504781,,,,0.0
50.0,,0.4453739656128019,age_z,,nan,0.007843133410889606,0.47058800465457923,7.458551628132094,0.808685,-0.3364055716289252,0.8626568763737072,,,,0.0
51.0,,0.4495792518581366,age_z,,nan,0.007843134717846466,0.4705880830720311,7.465000868789708,0.808685,-0.2961735654786865,0.8778486978429255,,,,0.0
52.0,,0.45372451022221255,age_z,,nan,0.007843135580436747,0.47058813482751355,7.47747263084691,0.8086850000000002,-0.2315119020744589,0.8866072885604303,,,,0.0
53.0,,0.45783571175037097,age_z,,nan,0.007843136149746736,0.4705881689861638,7.491084113869446,0.8086850000000001,-0.16143992418375078,0.894189757850292,,,,0.0
54.0,,0.4618790766992152,age_z,,nan,0.007843136525490737,0.47058819153085896,7.505272938549498,0.8086850000000001,-0.08886857519091396,0.9015067069960109,,,,0.0
55.0,,0.4658300687456296,age_z,,nan,0.007843136773482065,0.47058820641037247,7.520555124803676,0.767635,-0.01852323945398286,0.9096176129845716,,,,0.0
56.0,,0.469663723088655,age_z,,nan,0.007843136937156063,0.47058821623085495,7.534986887764478,0.7676349999999997,0.011944716774666863,0.9177347907832503,,,,0.0
57.0,,0.4733817972780105,age_z,,nan,0.007843137045178842,0.470588222712312,7.5496437991890915,0.767635,0.05528639584127008,0.9223509146836694,,,,0.0
58.0,,0.4769716203581221,age_z,,nan,0.007843137116474283,0.4705882269901224,7.563383792436856,0.7676350000000001,0.10928109419609988,0.9241687279288608,,,,0.0
59.0,,0.48039347899287077,age_z,,nan,0.007843137163529308,0.4705882298134727,7.575569364211029,0.7676350000000001,0.14841448362867074,0.9296024021544974,,,,0.0
60.0,,0.48363094446901533,age_z,,nan,0.007843137194585329,0.4705882316768954,7.591170938037918,0.7676350000000001,0.19515013279937873,0.9322519793029306,,,,0.0
61.0,,0.48669079835428875,age_z,,nan,0.007843137215082662,0.4705882329067698,7.614113701500723,0.7676349999999997,0.2445218822038593,0.9325780618461355,,,,0.0
62.0,,0.48958975423963697,age_z,,nan,0.00784313722861002,0.47058823371848535,7.63521010933392,0.7676349999999998,0.3228967470149885,0.9261073452233901,,,,0.0
63.0,,0.49229351718855513,age_z,,nan,0.007843137237538234,0.4705882342542364,7.658996719966131,0.7676349999999998,0.4069779982400535,0.9170438507861759,,,,0.0
64.0,,0.49481777558357637,age_z,,nan,0.007843137243429634,0.470588234607837,7.680330481172901,0.7676349999999998,0.5127055967920852,0.9028144394366724,,,,0.0
65.0,,0.4971569857692062,age_z,,nan,0.007843137247317169,0.4705882348412355,7.67530063116477,0.5719050000000003,0.6257095740674726,0.8866922719497975,,,,0.0
66.0,,0.4993022565277044,age_z,,nan,0.007843137249881909,0.47058823499524627,7.6907316869749485,0.571905,0.5640203457915961,0.8686141009979795,,,,0.0
