f_c_y,K,lastcohort,rows
1990,-4,0,23
1990,-3,0,25
1990,-2,0,43
1990,-1,0,58
1990,0,0,91
1990,1,0,117
1990,2,0,130
1990,3,0,136
1990,4,0,152
1990,5,0,125
1990,6,0,109
1990,7,0,114
1990,9,0,120
1990,11,0,123
1990,13,0,125
1990,15,0,125
1990,17,0,127
1990,19,0,128
1990,21,0,119
1990,23,0,107
1990,25,0,104
1990,27,0,100
1990,29,0,102
1991,-14,0,2
1991,-13,0,3
1991,-12,0,7
1991,-11,0,10
1991,-10,0,11
1991,-9,0,15
1991,-8,0,18
1991,-7,0,20
1991,-6,0,24
1991,-5,0,30
1991,-4,0,38
1991,-3,0,48
1991,-2,0,60
1991,-1,0,91
1991,0,0,119
1991,1,0,135
1991,2,0,143
1991,3,0,162
1991,4,0,144
1991,5,0,128
1991,6,0,129
1991,8,0,136
1991,10,0,136
1991,12,0,139
1991,14,0,136
1991,16,0,133
1991,18,0,135
1991,20,0,132
1991,22,0,126
1991,24,0,124
1991,26,0,114
1991,28,0,105
1992,-15,0,2
1992,-14,0,2
1992,-13,0,3
1992,-12,0,4
1992,-11,0,7
1992,-10,0,10
1992,-9,0,14
1992,-8,0,15
1992,-7,0,19
1992,-6,0,24
1992,-5,0,32
1992,-4,0,38
1992,-3,0,48
1992,-2,0,69
1992,-1,0,85
1992,0,0,112
1992,1,0,133
1992,2,0,143
1992,3,0,122
1992,4,0,110
1992,5,0,118
1992,7,0,127
1992,9,0,128
1992,11,0,133
1992,13,0,132
1992,15,0,130
1992,17,0,133
1992,19,0,126
1992,21,0,116
1992,23,0,111
1992,25,0,110
1992,27,0,99
1993,-15,0,1
1993,-14,0,2
1993,-13,0,1
1993,-12,0,5
1993,-11,0,9
1993,-10,0,8
1993,-9,0,12
1993,-8,0,16
1993,-7,0,19
1993,-6,0,23
1993,-5,0,26
1993,-4,0,38
1993,-3,0,48
1993,-2,0,62
1993,-1,0,88
1993,0,0,116
1993,1,0,139
1993,2,0,128
1993,3,0,120
1993,4,0,128
1993,6,0,141
1993,8,0,146
1993,10,0,143
1993,12,0,144
1993,14,0,146
1993,16,0,147
1993,18,0,137
1993,20,0,137
1993,22,0,130
1993,24,0,129
1993,26,0,117
1994,-17,0,2
1994,-16,0,3
1994,-15,0,4
1994,-14,0,4
1994,-13,0,7
1994,-12,0,8
1994,-11,0,11
1994,-10,0,12
1994,-9,0,12
1994,-8,0,17
1994,-7,0,21
1994,-6,0,28
1994,-5,0,35
1994,-4,0,39
1994,-3,0,48
1994,-2,0,67
1994,-1,0,89
1994,0,0,111
1994,1,0,106
1994,2,0,99
1994,3,0,110
1994,5,0,124
1994,7,0,135
1994,9,0,126
1994,11,0,131
1994,13,0,138
1994,15,0,138
1994,17,0,131
1994,19,0,126
1994,21,0,124
1994,23,0,123
1994,25,0,115
1995,-18,0,1
1995,-17,0,1
1995,-16,0,1
1995,-15,0,1
1995,-14,0,1
1995,-13,0,1
1995,-12,0,1
1995,-11,0,2
1995,-10,0,5
1995,-9,0,7
1995,-8,0,8
1995,-7,0,9
1995,-6,0,15
1995,-5,0,23
1995,-4,0,31
1995,-3,0,39
1995,-2,0,55
1995,-1,0,72
1995,0,0,82
1995,1,0,78
1995,2,0,101
1995,4,0,125
1995,6,0,136
1995,8,0,140
1995,10,0,142
1995,12,0,134
1995,14,0,143
1995,16,0,139
1995,18,0,135
1995,20,0,122
1995,22,0,118
1995,24,0,105
1996,-16,0,1
1996,-15,0,2
1996,-14,0,3
1996,-13,0,3
1996,-12,0,3
1996,-11,0,5
1996,-10,0,6
1996,-9,0,6
1996,-8,0,10
1996,-7,0,13
1996,-6,0,19
1996,-5,0,21
1996,-4,0,26
1996,-3,0,46
1996,-2,0,58
1996,-1,0,60
1996,0,0,76
1996,1,0,85
1996,3,0,100
1996,5,0,102
1996,7,0,109
1996,9,0,117
1996,11,0,121
1996,13,0,118
1996,15,0,111
1996,17,0,106
1996,19,0,98
1996,21,0,107
1996,23,0,96
1997,-20,0,1
1997,-19,0,1
1997,-18,0,1
1997,-17,0,2
1997,-16,0,4
1997,-15,0,5
1997,-14,0,6
1997,-13,0,6
1997,-12,0,6
1997,-11,0,7
1997,-10,0,8
1997,-9,0,9
1997,-8,0,11
1997,-7,0,13
1997,-6,0,15
1997,-5,0,22
1997,-4,0,26
1997,-3,0,35
1997,-2,0,46
1997,-1,0,52
1997,0,0,71
1997,2,0,96
1997,4,0,113
1997,6,0,124
1997,8,0,130
1997,10,0,133
1997,12,0,135
1997,14,0,130
1997,16,0,123
1997,18,0,122
1997,20,0,121
1997,22,0,103
1998,-11,0,2
1998,-10,0,4
1998,-9,0,4
1998,-8,0,7
1998,-7,0,11
1998,-6,0,10
1998,-5,0,14
1998,-4,0,22
1998,-3,0,27
1998,-2,0,35
1998,-1,0,42
1998,1,0,66
1998,3,0,80
1998,5,0,90
1998,7,0,94
1998,9,0,97
1998,11,0,101
1998,13,0,99
1998,15,0,91
1998,17,0,86
1998,19,0,92
1998,21,0,78
1999,-15,0,1
1999,-14,0,2
1999,-13,0,2
1999,-12,0,2
1999,-11,0,2
1999,-10,0,2
1999,-9,0,3
1999,-8,0,5
1999,-7,0,5
1999,-6,0,10
1999,-5,0,13
1999,-4,0,17
1999,-3,0,21
1999,-2,0,32
1999,0,0,68
1999,2,0,88
1999,4,0,108
1999,6,0,126
1999,8,0,130
1999,10,0,134
1999,12,0,129
1999,14,0,121
1999,16,0,112
1999,18,0,121
1999,20,0,112
2000,-17,0,1
2000,-16,0,3
2000,-15,0,4
2000,-14,0,4
2000,-13,0,4
2000,-12,0,6
2000,-11,0,7
2000,-10,0,8
2000,-9,0,9
2000,-8,0,10
2000,-7,0,14
2000,-6,0,23
2000,-5,0,25
2000,-4,0,30
2000,-3,0,39
2000,-1,0,60
2000,1,0,81
2000,3,0,106
2000,5,0,113
2000,7,0,120
2000,9,0,127
2000,11,0,120
2000,13,0,117
2000,15,0,117
2000,17,0,120
2000,19,0,109
2001,-16,0,1
2001,-15,0,2
2001,-14,0,2
2001,-13,0,2
2001,-12,0,2
2001,-11,0,2
2001,-10,0,2
2001,-9,0,2
2001,-8,0,8
2001,-7,0,12
2001,-6,0,16
2001,-5,0,22
2001,-4,0,29
2001,-2,0,48
2001,0,0,84
2001,2,0,104
2001,4,0,119
2001,6,0,126
2001,8,0,142
2001,10,0,140
2001,12,0,132
2001,14,0,132
2001,16,0,138
2001,18,0,118
2002,-17,0,1
2002,-16,0,1
2002,-15,0,1
2002,-14,0,1
2002,-13,0,1
2002,-12,0,2
2002,-11,0,2
2002,-10,0,2
2002,-9,0,6
2002,-8,0,10
2002,-7,0,11
2002,-6,0,16
2002,-5,0,18
2002,-3,0,33
2002,-1,0,55
2002,1,0,94
2002,3,0,114
2002,5,0,128
2002,7,0,142
2002,9,0,143
2002,11,0,130
2002,13,0,126
2002,15,0,129
2002,17,0,115
2003,-17,0,1
2003,-16,0,2
2003,-15,0,3
2003,-14,0,4
2003,-13,0,4
2003,-12,0,5
2003,-11,0,8
2003,-10,0,11
2003,-9,0,13
2003,-8,0,15
2003,-7,0,20
2003,-6,0,21
2003,-4,0,35
2003,-2,0,51
2003,0,0,71
2003,2,0,96
2003,4,0,107
2003,6,0,119
2003,8,0,115
2003,10,0,114
2003,12,0,114
2003,14,0,124
2003,16,0,109
2004,-17,0,1
2004,-16,0,1
2004,-15,0,2
2004,-14,0,3
2004,-13,0,3
2004,-12,0,5
2004,-11,0,8
2004,-10,0,10
2004,-9,0,11
2004,-8,0,12
2004,-7,0,17
2004,-5,0,28
2004,-3,0,48
2004,-1,0,81
2004,1,0,117
2004,3,0,146
2004,5,0,161
2004,7,0,164
2004,9,0,156
2004,11,0,161
2004,13,0,160
2004,15,0,147
2005,-14,0,1
2005,-13,0,3
2005,-12,0,4
2005,-11,0,8
2005,-10,0,8
2005,-9,0,12
2005,-8,0,17
2005,-6,0,25
2005,-4,0,40
2005,-2,0,62
2005,0,0,104
2005,2,0,125
2005,4,0,142
2005,6,0,156
2005,8,0,139
2005,10,0,144
2005,12,0,159
2005,14,0,139
2006,-15,0,1
2006,-14,0,1
2006,-13,0,2
2006,-12,0,3
2006,-11,0,4
2006,-10,0,5
2006,-9,0,8
2006,-7,0,11
2006,-5,0,23
2006,-3,0,40
2006,-1,0,61
2006,1,0,97
2006,3,0,118
2006,5,0,119
2006,7,0,126
2006,9,0,128
2006,11,0,129
2006,13,0,122
2007,-14,0,1
2007,-13,0,2
2007,-12,0,4
2007,-11,0,6
2007,-10,0,10
2007,-8,0,14
2007,-6,0,23
2007,-4,0,46
2007,-2,0,66
2007,0,0,104
2007,2,0,128
2007,4,0,145
2007,6,0,153
2007,8,0,148
2007,10,0,149
2007,12,0,135
2008,-22,0,1
2008,-21,0,1
2008,-20,0,1
2008,-19,0,1
2008,-18,0,1
2008,-17,0,1
2008,-16,0,1
2008,-15,0,2
2008,-14,0,2
2008,-13,0,2
2008,-12,0,4
2008,-11,0,5
2008,-9,0,7
2008,-7,0,13
2008,-5,0,28
2008,-3,0,54
2008,-1,0,79
2008,1,0,119
2008,3,0,128
2008,5,0,139
2008,7,0,131
2008,9,0,140
2008,11,0,132
2009,-15,0,1
2009,-14,0,2
2009,-13,0,2
2009,-12,0,2
2009,-10,0,8
2009,-8,0,14
2009,-6,0,24
2009,-4,0,45
2009,-2,0,70
2009,0,0,114
2009,2,0,152
2009,4,0,152
2009,6,0,152
2009,8,0,166
2009,10,0,156
2010,-19,0,1
2010,-18,0,1
2010,-17,0,1
2010,-16,0,1
2010,-15,0,1
2010,-14,0,1
2010,-13,0,2
2010,-11,0,7
2010,-9,0,13
2010,-7,0,25
2010,-5,0,39
2010,-3,0,62
2010,-1,0,93
2010,1,0,118
2010,3,0,130
2010,5,0,142
2010,7,0,158
2010,9,0,147
2011,-18,0,1
2011,-17,0,1
2011,-16,0,1
2011,-15,0,1
2011,-14,0,1
2011,-12,0,5
2011,-10,0,6
2011,-8,0,9
2011,-6,0,14
