draw,existing_family_rooms,under18_candidate,candidate_minus_existing
207,0.3417267162535822,0.33495248840647207,-0.006774227847110126
208,0.4632889975412757,0.452868518801524,-0.010420478739751715
209,0.2908149991403821,0.28073498935117147,-0.010080009789210642
210,0.3816599563593055,0.35912187951708496,-0.022538076842220534
211,0.3891126158014977,0.3831804276158044,-0.005932188185693299
212,0.3822910091155469,0.3702971269344566,-0.01199388218109032
213,0.4117151793098337,0.3972719434350145,-0.014443235874819216
214,0.4658928630250623,0.45002041974586504,-0.015872443279197235
215,0.3825417211585398,0.3590894571847256,-0.02345226397381417
216,0.3578205385262878,0.3327568586569578,-0.025063679869330002
217,0.29973065577101643,0.29832204554995023,-0.0014086102210661977
218,0.376611675083506,0.37566991839880526,-0.0009417566847007564
219,0.40886781604982136,0.3861298526350634,-0.022737963414757978
220,0.3729896369314982,0.35465340889135444,-0.018336228040143787
221,0.35688132653866145,0.3443035317137966,-0.012577794824864874
222,0.36039454482246125,0.3356871565323667,-0.024707388290094556
223,0.44966342875433885,0.43721453192433657,-0.012448896830002276
224,0.3554484769744741,0.3264627739621897,-0.028985703012284425
225,0.26825995486884846,0.2614125393418414,-0.0068474155270070725
226,0.4737884283278264,0.4648501501198865,-0.00893827820793991
227,0.2818892118648897,0.2607037982339726,-0.021185413630917083
228,0.3952562595098268,0.39392717848297654,-0.001329081026850254
229,0.3306970777832907,0.31834593106878817,-0.012351146714502548
230,0.5160882670455997,0.5111392401090935,-0.004949026936506229
231,0.4061132099691527,0.3934600781301665,-0.012653131838986198
232,0.3051683631708162,0.2846284665900338,-0.02053989658078237
233,0.3449337271911812,0.3203674343695688,-0.02456629282161238
234,0.40367751523428197,0.39174879650120253,-0.011928718733079435
235,0.3053684992127055,0.28086958500924375,-0.02449891420346173
236,0.3070464689668251,0.3006665963166304,-0.0063798726501946845
237,0.359455992128896,0.3613789682857771,0.0019229761568810844
238,0.28793092610093485,0.2762032835612569,-0.011727642539677952
239,0.4744138326134957,0.4589014849776154,-0.015512347635880275
240,0.33655017631562245,0.32068481259993575,-0.015865363715686698
241,0.3942470428475007,0.38731368038754965,-0.00693336245995102
242,0.22766502786077591,0.2191798544358976,-0.008485173424878312
243,0.4215684997926479,0.3817706906818401,-0.03979780911080777
244,0.3301505099400144,0.3177346167529107,-0.012415893187103677
245,0.26298645249438657,0.2528644277664789,-0.010122024727907686
246,0.4019881820268356,0.385338879250388,-0.016649302776447605
247,0.23528974610596887,0.22507676819177913,-0.010212977914189736
248,0.2907521816168108,0.28770043576763005,-0.003051745849180776
249,0.2935569995253777,0.2914100049777799,-0.0021469945475978136
250,0.30866755923083655,0.3037962358207391,-0.004871323410097439
251,0.3021678753701913,0.2974116976337067,-0.004756177736484624
252,0.31776760470377585,0.3013497729208199,-0.01641783178295597
253,0.3657145986795367,0.35023816319866174,-0.015476435480874962
254,0.38506687204984225,0.3627168008137218,-0.022350071236120428
255,0.33788170879992574,0.33043074607660117,-0.007450962723324572
256,0.4030914265294063,0.3877077451428823,-0.015383681386524017
257,0.33451054028144256,0.3276620303694031,-0.006848509912039447
258,0.3314843672114751,0.32653226151848,-0.00495210569299509
259,0.35715498689980496,0.34352294514765713,-0.013632041752147828
260,0.3373180179112252,0.32347517122220104,-0.013842846689024135
261,0.3687467680412597,0.35267951421930643,-0.016067253821953287
262,0.3243044161485402,0.3139253334251535,-0.010379082723386723
263,0.355900642671247,0.34688842298155365,-0.009012219689693346
264,0.2875959876739369,0.2843433999632481,-0.0032525877106888146
265,0.34616965741477923,0.3416640809744793,-0.004505576440299919
266,0.4361460563608386,0.4203848827092376,-0.015761173651601013
267,0.4064557621884406,0.3889166528477048,-0.01753910934073577
268,0.31177191576973406,0.28845697205410836,-0.023314943715625702
269,0.3191239283774223,0.3073234586181126,-0.011800469759309706
270,0.3965753458622743,0.3931681369295248,-0.0034072089327494837
