moment,parameter,derivative_per_unit_coordinate,method,unit_denominator
old_nonhousing_ge_1x_income_share_6575,theta0,0.010574408166574845,central,0.01
old_age_own_rate,theta0,0.05897732491012553,central,0.01
aggregate_mean_occupied_rooms_18_85,theta0,0.1841406155540959,central,0.01
tfr,theta1,-0.18040214746735117,forward_strict_side,0.005
childless_rate,theta1,0.020395731256539484,forward_strict_side,0.005
own_rate,theta1,-0.022070419235187266,forward_strict_side,0.005
own_family_gap,theta1,-0.15593329176571968,forward_strict_side,0.005
housing_increment_0to1,theta1,0.4622566796675276,forward_strict_side,0.005
prime30_55_childless_renter_mean_rooms,theta1,0.7230829402740113,forward_strict_side,0.005
prime30_55_childless_owner_share_rooms_ge6,theta1,-0.3366083209619619,forward_strict_side,0.005
young_childless_renter_liquid_wealth_to_annual_gross_income_2535,theta1,-0.5359556344306848,forward_strict_side,0.005
prime30_55_childless_owner_minus_renter_mean_rooms,theta1,-1.3377631575345106,forward_strict_side,0.005
own_rate_2534,theta1,0.18150537678748302,forward_strict_side,0.005
prime30_55_parent_3plus_minus_1to2_mean_rooms,theta1,0.23389412801240184,forward_strict_side,0.005
old_total_estate_wealth_to_annual_income_median_7684,theta1,-8.040211357685934,forward_strict_side,0.005
old_nonhousing_ge_1x_income_share_6575,theta1,-0.009077150834291281,forward_strict_side,0.005
old_age_own_rate,theta1,-0.031453116303725714,forward_strict_side,0.005
aggregate_mean_occupied_rooms_18_85,theta1,-0.08237063656526544,forward_strict_side,0.005
tfr,tenure_choice_kappa,0.11737764211368074,central,0.01
childless_rate,tenure_choice_kappa,-0.0029758449353267658,central,0.01
own_rate,tenure_choice_kappa,-0.27664596932260865,central,0.01
own_family_gap,tenure_choice_kappa,-0.38657232676191366,central,0.01
housing_increment_0to1,tenure_choice_kappa,0.03759002292762492,central,0.01
prime30_55_childless_renter_mean_rooms,tenure_choice_kappa,1.8609357736160792,central,0.01
prime30_55_childless_owner_share_rooms_ge6,tenure_choice_kappa,-0.283226943477044,central,0.01
young_childless_renter_liquid_wealth_to_annual_gross_income_2535,tenure_choice_kappa,-0.5491575721437991,central,0.01
prime30_55_childless_owner_minus_renter_mean_rooms,tenure_choice_kappa,-2.7629476248236085,central,0.01
own_rate_2534,tenure_choice_kappa,0.09304458287017758,central,0.01
prime30_55_parent_3plus_minus_1to2_mean_rooms,tenure_choice_kappa,-1.0697047639508739,central,0.01
old_total_estate_wealth_to_annual_income_median_7684,tenure_choice_kappa,-4.215571789594197,central,0.01
old_nonhousing_ge_1x_income_share_6575,tenure_choice_kappa,-0.11590771726378568,central,0.01
old_age_own_rate,tenure_choice_kappa,-0.08484344507725394,central,0.01
aggregate_mean_occupied_rooms_18_85,tenure_choice_kappa,-0.19373075835886766,central,0.01
