year,age_lower,age_upper,measure,model,data,gap
2007,70.0,73.0,capped_rooms,7.075078140765169,5.616072270931664,1.459005869833505
2007,74.0,77.0,capped_rooms,7.052574044614321,5.475444160609464,1.577129884004857
2007,78.0,81.0,capped_rooms,6.985697136038081,5.3327865427929435,1.6529105932451378
2007,82.0,85.0,capped_rooms,6.889145920560072,5.143818256084876,1.7453276644751954
2007,18.0,21.0,with_children,26.50256087541274,21.81035360128148,4.69220727413126
2007,22.0,25.0,with_children,43.408872852994676,28.82568487980584,14.583187973188835
2007,26.0,29.0,with_children,54.409492925928745,40.82085941132127,13.588633514607473
2007,30.0,33.0,with_children,60.73597428758,53.07983726775674,7.656137019823262
2007,34.0,37.0,with_children,63.90098496511857,63.26983084782002,0.63115411729855
2007,38.0,41.0,with_children,64.57995328070554,63.779691856243346,0.8002614244621924
2007,42.0,45.0,with_children,62.53179419364298,57.67727052039129,4.854523673251691
2007,46.0,49.0,with_children,53.235820264177946,45.28282545582174,7.952994808356209
2007,50.0,53.0,with_children,44.366204273588075,27.9188291417036,16.447375131884474
2007,54.0,57.0,with_children,36.38169310015855,13.86089678855634,22.52079631160221
2007,58.0,61.0,with_children,29.47029176651193,5.822619082255296,23.647672684256634
2007,62.0,65.0,with_children,23.64971038639347,2.6305537949721427,21.019156591421325
2007,66.0,69.0,with_children,18.843556152652308,1.0691244570291794,17.77443169562313
2007,70.0,73.0,with_children,14.932021607828853,0.6508705769499369,14.281151030878917
2007,74.0,77.0,with_children,11.782640260352103,0.1918677458272438,11.59077251452486
2007,78.0,81.0,with_children,9.267324894067075,0.1842572531207233,9.083067640946352
2007,82.0,85.0,with_children,7.270684913518982,0.023466992263832514,7.2472179212551495
2023,18.0,21.0,owners,5.883040232124938,10.610035283293286,-4.726995051168347
2023,22.0,25.0,owners,16.684813426746114,15.305154710376549,1.3796587163695655
2023,26.0,29.0,owners,24.32807690828242,28.808120065425147,-4.4800431571427275
2023,30.0,33.0,owners,35.34673788849267,41.11530054944383,-5.7685626609511615
2023,34.0,37.0,owners,43.62020358587306,51.904348542988366,-8.28414495711531
2023,38.0,41.0,owners,51.84086518932672,58.015384326027345,-6.174519136700624
2023,42.0,45.0,owners,58.81221822324032,62.4230536071216,-3.6108353838812803
2023,46.0,49.0,owners,63.12404746379656,65.68879713108241,-2.5647496672858523
2023,50.0,53.0,owners,66.31941099924697,68.95934639733743,-2.639935398090458
2023,54.0,57.0,owners,69.22815633414294,70.93490560476067,-1.7067492706177347
2023,58.0,61.0,owners,72.23947410078338,72.95762730597399,-0.7181532051906032
2023,62.0,65.0,owners,74.94511420453264,74.1504022788581,0.7947119256745481
2023,66.0,69.0,owners,77.18785247951045,74.8248584603301,2.3629940191803485
