case,spec,outcome,event_age,term,rf_coef,rf_se,rf_ci_lower,rf_ci_upper,fs_coef,fs_se,fs_ci_lower,fs_ci_upper,first_stage_F,n_usable,n_households,n_instrument_positive,status,n_warnings,note
D,"joint BB, GG vs mixed",ROOMS_out,0-5,BB minus GG,0.014754991986999998,0.00719948290669732,0.0006442647825615089,0.028865719191438488,0.00010365550699999865,0.001760326992517645,-0.003346521999348295,0.0035538330133482923,0.003467353044278737,656985,656159,,full_fit,0,"SE from saved clustered V (bb, gg, cov)"
D,"joint BB, GG vs mixed",BEDROOMS_out,0-5,bothboys,-0.032190614429,0.0033471788783,-0.038750964480281175,-0.025630264377718825,0.032794591409,0.0014817625612,0.029890390155408172,0.03569879266259183,489.8320678087878,656986,656160,173813,full_fit,0,
D,"joint BB, GG vs mixed",BEDROOMS_out,0-5,bothgirls,-0.036253295,0.0034779225205,-0.04306989788120077,-0.02943669211879923,0.032690936947,0.0015350280597,0.029682337234729603,0.035699536659270406,453.54679120536315,656986,656160,156161,full_fit,0,
D,"joint BB, GG vs mixed",BEDROOMS_out,0-5,BB minus GG,0.004062680570999996,0.003947498753734916,-0.0036742748153371875,0.011799635957337181,0.00010365446199999545,0.001760327095661579,-0.003346523246506694,0.003553832170506685,0.0034672827262704734,656986,656160,,full_fit,0,"SE from saved clustered V (bb, gg, cov)"
D,"joint BB, GG vs mixed",OWNERSHP_out,0-5,bothboys,-0.0020180707207,0.0017710946612,-0.005489352469863169,0.0014532110284631691,0.032794591409,0.0014817625612,0.029890390155408172,0.03569879266259183,489.8320678087878,656986,656160,173813,full_fit,0,
D,"joint BB, GG vs mixed",OWNERSHP_out,0-5,bothgirls,-0.0029396122824,0.0018410681755,-0.006548039599462867,0.0006688150346628673,0.032690936947,0.0015350280597,0.029682337234729603,0.035699536659270406,453.54679120536315,656986,656160,156161,full_fit,0,
D,"joint BB, GG vs mixed",OWNERSHP_out,0-5,BB minus GG,0.0009215415617,0.0020824392258527117,-0.0031599643209647868,0.005003047444364786,0.00010365446199999545,0.001760327095661579,-0.003346523246506694,0.003553832170506685,0.0034672827262704734,656986,656160,,full_fit,0,"SE from saved clustered V (bb, gg, cov)"
E,exclude second = third child age,ROOMS_out,0-5,samesex,-0.037827301509,0.0051350304982,-0.04789177634498677,-0.027762826673013233,0.032728941248,0.0011997788657,0.03037741788181568,0.03508046461418432,744.151733861362,645485,644680,324108,full_fit,0,excluded 11500 of 656986
E,exclude second = third child age,BEDROOMS_out,0-5,samesex,-0.034723339202,0.0028049641191,-0.04022096785336312,-0.02922571055063688,0.032729615275,0.0011997780238,0.030378093558909358,0.03508113699109064,744.1834290307436,645486,644681,324108,full_fit,0,excluded 11500 of 656986
E,exclude second = third child age,OWNERSHP_out,0-5,samesex,-0.0022837563584,0.0014880805838,-0.005200340708741338,0.000632827991941338,0.032729615275,0.0011997780238,0.030378093558909358,0.03508113699109064,744.1834290307436,645486,644681,324108,full_fit,0,excluded 11500 of 656986
