f_c_y,control,K,rows
1979,0,-5,9
1979,0,-4,25
1979,0,-3,33
1979,0,-2,43
1979,0,-1,44
1979,0,0,62
1979,0,1,74
1979,0,2,75
1979,0,6,85
1979,0,7,83
1979,0,8,79
1979,0,9,80
1979,0,10,79
1979,0,11,76
1979,0,12,76
1979,0,13,75
1979,0,14,72
1979,0,15,75
1979,0,16,78
1979,0,17,74
1979,0,18,54
1979,0,20,55
1979,0,22,53
1979,0,24,48
1979,0,26,49
1979,0,28,49
1979,0,30,50
1979,0,32,45
1979,0,34,43
1979,0,36,43
1979,0,38,43
1979,0,40,38
1980,0,-7,2
1980,0,-6,5
1980,0,-5,19
1980,0,-4,22
1980,0,-3,32
1980,0,-2,36
1980,0,-1,55
1980,0,0,65
1980,0,1,74
1980,0,5,79
1980,0,6,79
1980,0,7,81
1980,0,8,82
1980,0,9,75
1980,0,10,79
1980,0,11,82
1980,0,12,81
1980,0,13,83
1980,0,14,83
1980,0,15,86
1980,0,16,81
1980,0,17,54
1980,0,19,52
1980,0,21,54
1980,0,23,54
1980,0,25,52
1980,0,27,51
1980,0,29,45
1980,0,31,44
1980,0,33,40
1980,0,35,40
1980,0,37,39
1980,0,39,36
1981,0,-10,1
1981,0,-9,1
1981,0,-8,5
1981,0,-7,7
1981,0,-6,15
1981,0,-5,20
1981,0,-4,21
1981,0,-3,24
1981,0,-2,33
1981,0,-1,42
1981,0,0,50
1981,0,4,58
1981,0,5,57
1981,0,6,64
1981,0,7,65
1981,0,8,60
1981,0,9,59
1981,0,10,59
1981,0,11,60
1981,0,12,64
1981,0,13,71
1981,0,14,67
1981,0,15,67
1981,0,16,55
1981,0,18,53
1981,0,20,51
1981,0,22,54
1981,0,24,51
1981,0,26,50
1981,0,28,46
1981,0,30,44
1981,0,32,43
1981,0,34,43
1981,0,36,43
1981,0,38,42
1982,0,-13,2
1982,0,-12,2
1982,0,-11,3
1982,0,-10,3
1982,0,-9,5
1982,0,-8,5
1982,0,-7,9
1982,0,-6,16
1982,0,-5,21
1982,0,-4,25
1982,0,-3,27
1982,0,-2,37
1982,0,-1,46
1982,0,3,76
1982,0,4,81
1982,0,5,81
1982,0,6,82
1982,0,7,85
1982,0,8,83
1982,0,9,80
1982,0,10,78
1982,0,11,78
1982,0,12,81
1982,0,13,81
1982,0,14,82
1982,0,15,58
1982,0,17,59
1982,0,19,60
1982,0,21,58
1982,0,23,57
1982,0,25,55
1982,0,27,52
1982,0,29,42
1982,0,31,42
1982,0,33,40
1982,0,35,34
1982,0,37,39
1983,0,-12,1
1983,0,-11,1
1983,0,-10,2
1983,0,-9,3
1983,0,-8,12
1983,0,-7,15
1983,0,-6,15
1983,0,-5,23
1983,0,-4,27
1983,0,-3,35
1983,0,-2,47
1983,0,2,82
1983,0,3,83
1983,0,4,90
1983,0,5,87
1983,0,6,84
1983,0,7,82
1983,0,8,85
1983,0,9,91
1983,0,10,89
1983,0,11,89
1983,0,12,89
1983,0,13,88
1983,0,14,66
1983,0,16,70
1983,0,18,68
1983,0,20,67
1983,0,22,70
1983,0,24,66
1983,0,26,61
1983,0,28,56
1983,0,30,56
1983,0,32,50
1983,0,34,50
1983,0,36,47
1984,0,-13,1
1984,0,-12,3
1984,0,-11,4
1984,0,-10,3
1984,0,-9,7
1984,0,-8,8
1984,0,-7,9
1984,0,-6,12
1984,0,-5,16
1984,0,-4,24
1984,0,-3,27
1984,0,1,53
1984,0,2,59
1984,0,3,61
1984,0,4,65
1984,0,5,66
1984,0,6,66
1984,0,7,67
