policy_case,policy_label,calendar_year,asset_price,baseline_asset_price,difference_asset_price,percent_difference_asset_price,housing_user_cost,baseline_housing_user_cost,difference_housing_user_cost,percent_difference_housing_user_cost,owner_rate,baseline_owner_rate,difference_owner_rate,percent_difference_owner_rate,dependent_child_owner_rate,baseline_dependent_child_owner_rate,difference_dependent_child_owner_rate,percent_difference_dependent_child_owner_rate,topcode_adjusted_births_per_adult,baseline_topcode_adjusted_births_per_adult,difference_topcode_adjusted_births_per_adult,percent_difference_topcode_adjusted_births_per_adult,population_index_2023,baseline_population_index_2023,difference_population_index_2023,percent_difference_population_index_2023,housing_demand_per_adult,baseline_housing_demand_per_adult,difference_housing_demand_per_adult,percent_difference_housing_demand_per_adult
dependent-child-ltv95,5% down payment for dependent-child households,2027,0.6984234279064518,0.6976356849642897,0.0007877429421621063,0.11291609061001573,0.11573677247312776,0.11560623443270489,0.00013053804042287287,0.11291609061001573,0.6521811618619785,0.6415316840646684,0.01064947779731007,1.660008080947195,0.6441265726773877,0.614406647063449,0.029719925613938658,4.8371751438538,0.07778048086570369,0.07776470142113401,1.5779444569680168e-05,0.020291268765015857,1.0123645149412106,1.012364514941212,-1.3322676295501878e-15,-1.3322676295501878e-13,6.27818782265849,6.273673177927423,0.004514644731067108,0.0719617455839261
dependent-child-ltv95,5% down payment for dependent-child households,2031,0.691972814281389,0.6912443093083752,0.0007285049730137994,0.10539037547270258,0.1146678318110514,0.11454711018153796,0.00012072162951344556,0.10539037547270258,0.6612844303522057,0.649272475632069,0.01201195472013672,1.850063751500186,0.658589526058721,0.6241091788976564,0.03448034716106463,5.524730019508151,0.0710721027875777,0.07105466018308709,1.7442604490602864e-05,0.024548149897074545,1.009105483881605,1.0091054838816058,-8.881784197001252e-16,-8.881784197001252e-14,6.261490125493891,6.257457105599722,0.00403301989416871,0.06445141894075856
dependent-child-ltv95,5% down payment for dependent-child households,2035,0.6757890618552171,0.6752835404477227,0.0005055214074944914,0.07486061442565362,0.11198599841676819,0.11190222772153985,8.377069522834402e-05,0.07486061442565362,0.6692074052525748,0.6564764757766887,0.012730929475886166,1.9392819005165318,0.6682170839522901,0.6303452949961523,0.03787178895613774,6.0081021079674946,0.06531098021441048,0.0652910327446983,1.99474697121782e-05,0.030551622288133018,0.9917852542663351,0.991785254266334,1.1102230246251565e-15,1.1102230246251565e-13,6.276946662028154,6.273460245725553,0.0034864163026009365,0.055574055880502904
dependent-child-ltv95,5% down payment for dependent-child households,2039,0.6548496232331144,0.6543597654921126,0.0004898577410017424,0.07486061442567582,0.10851609327514694,0.10843491822910865,8.117504603828707e-05,0.07486061442567582,0.6774845775283143,0.6639137237616692,0.013570853766645019,2.044068872345939,0.6764856081572348,0.6342371207317846,0.042248487425450176,6.6613078995918285,0.06091480971557731,0.060891900948124224,2.290876745308923e-05,0.037622027061701147,0.9656944497078295,0.9656944497078297,-2.220446049250313e-16,-2.220446049250313e-14,6.319505443445089,6.316560162810545,0.002945280634543579,0.04662792023868434
dependent-child-ltv95,5% down payment for dependent-child households,2043,0.631437361809261,0.6310624956368833,0.0003748661723776969,0.05940238486195071,0.10463641303358318,0.10457429340934547,6.211962423770256e-05,0.05940238486197291,0.6852122260458229,0.6706200824312116,0.014592143614611253,2.1759180789382437,0.6833209674630681,0.6358939593936536,0.04742700806941458,7.458320270039653,0.059874875675252216,0.05984845824686517,2.6417428387048858e-05,0.044140532874026306,0.9337072398537973,0.9336999909774077,7.2488763895872665e-06,0.0007763603362631599,6.387944754496441,6.385486081267915,0.0024586732285261093,0.03850408876058253
dependent-child-ltv95,5% down payment for dependent-child households,2047,0.6052877279499064,0.6050223936502779,0.00026533429962849464,0.04385528575687747,0.10030311878354965,0.10025914984688687,4.3968936662780456e-05,0.043855285756899676,0.6930226744586696,0.6776452288690477,0.015377445589621952,2.2692472306321765,0.6901516940407191,0.6385939438313742,0.05155775020934483,8.07363594775321,0.06366660763190828,0.06363698724821173,2.9620383696540853e-05,0.04654586110590664,0.8954299510446699,0.8954150952398292,1.4855804840729903e-05,0.0016590969841523417,6.485773486188453,6.484517823978431,0.001255662210022379,0.019364002754063137
dependent-child-ltv95,5% down payment for dependent-child households,2051,0.5801308575036302,0.5799216152193254,0.0002092422843048558,0.03608113214157438,0.09613433681742323,0.09609966297103904,3.4673846384183915e-05,0.03608113214157438,0.702439310190919,0.6867002325577267,0.015739077633192267,2.2919866467162153,0.6971509128750637,0.644734869011818,0.05241604386324572,8.129860254585509,0.07155704606631397,0.07152291834320615,3.412772310781853e-05,0.0477157866294764,0.855465574124228,0.8554423366870801,2.3237437147827222e-05,0.002716423556714531,6.609764888862797,6.6083337525469,0.0014311363158965307,0.021656538084879884
dependent-child-ltv95,5% down payment for dependent-child households,2055,0.5567109164043957,0.5564237319755339,0.00028718442886188633,0.051612541370626985,0.09225338396556784,0.09220579421188412,4.75897536837272e-05,0.051612541370626985,0.7125573747721844,0.6967544227279723,0.015802952044212115,2.2680806219125937,0.7061375892745609,0.6531384966233991,0.05299909265116187,8.114525927526394,0.06903213153227555,0.06899449926777576,3.7632264499792845e-05,0.05454386204577499,0.816357442100644,0.8163247838985818,3.265820206221903e-05,0.004000638312895433,6.7487193774403895,6.747212095354332,0.0015072820860577707,0.02233933163440227
dependent-child-ltv95,5% down payment for dependent-child households,2059,0.530753311605813,0.5305624065089805,0.00019090509683250545,0.03598164786846603,0.08795191113335446,0.08792027596925023,3.163516410423228e-05,0.03598164786846603,0.7259829964126568,0.7098535516393886,0.016129444773268276,2.2722214654019357,0.7212770239595844,0.6667443593879374,0.05453266457164696,8.178946518828777,0.06753501339797803,0.0674928440056834,4.21693922946359e-05,0.06247979754874233,0.7733060648603809,0.7732628719585192,4.3192901861721644e-05,0.005585797977381013,6.9135960665555025,6.912563598757215,0.001032467798287584,0.01493610559291092
dependent-child-ltv95,5% down payment for dependent-child households,2063,0.5057688303722503,0.5055473936822321,0.000221436690018173,0.04380137110495674,0.08381169603696843,0.08377500143769553,3.6694599272898976e-05,0.04380137110495674,0.7358937976785649,0.7196236616400128,0.016270136038552097,2.260922883145988,0.7376613742734959,0.6815541788739563,0.05610719539953957,8.232242885259433,0.06637116735755032,0.06632154688210687,4.962047544344872e-05,0.07481803090578776,0.7313929871222665,0.7313378418498241,5.5145272442436166e-05,0.007540328051791612,7.090860584884,7.089491460717484,0.0013691241665156895,0.019312022224760028
combined,Supply +20% and family credit,2023,0.5687459578147369,0.6937334343958133,-0.12498747658107634,-18.0166430481948,0.0942477283614719,0.11495958675719566,-0.02071185839572376,-18.0166430481948,0.6670511397892199,0.637167316564105,0.029883823225114958,4.690106106864067,0.6611980846853387,0.6015952547308694,0.059602829954469305,9.90746344585669,0.08576198178943287,0.08460666172062539,0.001155320068807475,1.3655190327948263,1.0,1.0,0.0,0.0,6.701218843058867,6.328594153552578,0.37262468950628946,5.887953634965126
combined,Supply +20% and family credit,2027,0.5815927293032671,0.6976356849642897,-0.11604295566102263,-16.633747120742914,0.09637658574135555,0.11560623443270489,-0.01922964869134934,-16.633747120742903,0.6824056853709658,0.6415316840646684,0.04087400130629737,6.371314515181004,0.6940762953770094,0.614406647063449,0.07966964831356038,12.966924868788565,0.07890418857574866,0.07776470142113401,0.001139487154614649,1.4653012662438902,1.012364514941211,1.012364514941212,-8.881784197001252e-16,-8.881784197001252e-14,6.713101517391056,6.273673177927423,0.4394283394636336,7.004323097506382
combined,Supply +20% and family credit,2031,0.5825128271757976,0.6912443093083752,-0.10873148213257766,-15.729819496289089,0.09652905651176666,0.11454711018153796,-0.0180180536697713,-15.729819496289089,0.6940636393572442,0.649272475632069,0.04479116372517522,6.898669727462403,0.7090619162268484,0.6241091788976564,0.08495273732919206,13.611839114310298,0.0721638497333329,0.07105466018308709,0.0011091895502458038,1.5610370204962587,1.0091054838816063,1.0091054838816058,4.440892098500626e-16,4.440892098500626e-14,6.741267646662849,6.257457105599722,0.4838105410631268,7.731743628416887
combined,Supply +20% and family credit,2035,0.573271259629982,0.6752835404477227,-0.10201228081774061,-15.106584820667335,0.09499762277456912,0.11190222772153985,-0.016904604946970728,-15.106584820667335,0.7009830318500756,0.6564764757766887,0.04450655607338694,6.7796117173476,0.7149392242869885,0.6303452949961523,0.0845939292908362,13.420252354124829,0.06636863414493448,0.0652910327446983,0.001077601400236175,1.6504585008630945,0.9917852542663358,0.991785254266334,1.7763568394002505e-15,1.7763568394002505e-13,6.790407239277213,6.273460245725553,0.5169469935516604,8.240221079011123
combined,Supply +20% and family credit,2039,0.558753498983235,0.6543597654921126,-0.0956062665088776,-14.610657859897103,0.0925918633259944,0.10843491822910865,-0.01584305490311426,-14.610657859897103,0.7070909772340301,0.6639137237616692,0.0431772534723609,6.503443433541767,0.7190873812084158,0.6342371207317846,0.08485026047663113,13.378318250866595,0.06194112924371992,0.060891900948124224,0.001049228295595693,1.723099918476123,0.9656944497078292,0.9656944497078297,-4.440892098500626e-16,-4.440892098500626e-14,6.862032297700452,6.316560162810545,0.5454721348899065,8.635588371364445
combined,Supply +20% and family credit,2043,0.5414404271132567,0.6310624956368833,-0.08962206852362664,-14.201773856514466,0.08972288874730232,0.10457429340934547,-0.014851404662043155,-14.201773856514466,0.7149745226863722,0.6706200824312116,0.044354440255160554,6.613944529421412,0.7243723767222872,0.6358939593936536,0.0884784173286336,13.914020729651334,0.060952538584927905,0.05984845824686517,0.0011040803380627379,1.8447932835773173,0.9342501433911258,0.9336999909774077,0.0005501524137180303,0.0589217542073861,6.953427242179944,6.385486081267915,0.5679411609120288,8.894251019951449
combined,Supply +20% and family credit,2047,0.5209132604967492,0.6050223936502779,-0.08410913315352864,-13.901821492271305,0.08632130180550386,0.10025914984688687,-0.01393784804138301,-13.901821492271305,0.7210978542491486,0.6776452288690477,0.04345262538010097,6.412297103105269,0.7313463289785114,0.6385939438313742,0.09275238514713713,14.524469898767013,0.06483671708441177,0.06363698724821173,0.0011997298362000364,1.8852712676679317,0.8965145697300057,0.8954150952398292,0.0010994744901764442,0.12278936283534048,7.072076321225165,6.484517823978431,0.587558497246734,9.060943514937403
combined,Supply +20% and family credit,2051,0.5003495335653942,0.5799216152193254,-0.07957208165393115,-13.721178787901723,0.08291365640021178,0.09609966297103904,-0.01318600657082726,-13.721178787901733,0.727622233901463,0.6867002325577267,0.04092200134373625,5.959223457856644,0.7409178552190145,0.644734869011818,0.09618298620719656,14.918223106905293,0.07281036961253069,0.07152291834320615,0.0012874512693245438,1.8000541632636535,0.8570748060619308,0.8554423366870801,0.0016324693748506203,0.19083336244178906,7.2123449384972,6.6083337525469,0.6040111859502995,9.14014346986498
combined,Supply +20% and family credit,2055,0.4808211933881697,0.5564237319755339,-0.07560253858736415,-13.587223952318483,0.07967758645530151,0.09220579421188412,-0.012528207756582602,-13.587223952318473,0.7382457148289157,0.6967544227279723,0.04149129210094338,5.954937743845856,0.7508546731777663,0.6531384966233991,0.09771617655436726,14.961019302880052,0.07031012353864252,0.06899449926777576,0.001315624270866761,1.9068538576686667,0.818466181453781,0.8163247838985818,0.0021413975551992648,0.2623217618081375,7.365281383737036,6.747212095354332,0.6180692883827046,9.160365490930179
combined,Supply +20% and family credit,2059,0.45804394472097987,0.5305624065089805,-0.07251846178800059,-13.668224679762176,0.07590313511070616,0.08792027596925023,-0.012017140858544065,-13.668224679762165,0.7496292869347737,0.7098535516393886,0.03977573529538514,5.603372019978492,0.7605671935423819,0.6667443593879374,0.09382283415444448,14.071785210237486,0.06887683025805841,0.0674928440056834,0.0013839862523750135,2.050567393868419,0.7758867618668288,0.7732628719585192,0.00262388990830964,0.3393270262238124,7.535491937251262,6.912563598757215,0.6229283384940469,9.011538622314319
combined,Supply +20% and family credit,2063,0.43498101967064184,0.5055473936822321,-0.07056637401159027,-13.95840922007514,0.07208134391289815,0.08377500143769553,-0.011693657524797382,-13.958409220075152,0.7611750179503148,0.7196236616400128,0.041551356310302046,5.77403975511408,0.770068420134699,0.6815541788739563,0.0885142412607427,12.987117386175129,0.06781003031203045,0.06632154688210687,0.0014884834299235816,2.244343655870251,0.7344685950857123,0.7313378418498241,0.003130753235888184,0.4280857705885044,7.705959113261015,7.089491460717484,0.6164676525435304,8.695513013300694
property-tax-2pct-no-rebate,Property tax: 1% to 2% (no rebate),2023,0.6403001955269467,0.6937334343958133,-0.05343323886886653,-7.702272403146127,0.13171709405270324,0.11495958675719566,0.01675750729550758,14.576868070081762,0.6138303587415375,0.637167316564105,-0.023336957822567506,-3.662610622969642,0.5776265854325511,0.6015952547308694,-0.023968669298318312,-3.9841852324850824,0.083637923261879,0.08460666172062539,-0.0009687384587463987,-1.144990759646336,1.0,1.0,0.0,0.0,6.017008637429662,6.328594153552578,-0.31158551612291596,-4.923455487313976
property-tax-2pct-no-rebate,Property tax: 1% to 2% (no rebate),2027,0.635387934857145,0.6976356849642897,-0.062247750107144784,-8.922672886254535,0.1307065856924439,0.11560623443270489,0.015100351259739006,13.061883153480803,0.6201184077713557,0.6415316840646684,-0.02141327629331269,-3.3378361233292075,0.5875405052503472,0.614406647063449,-0.026866141813101874,-4.372697128442271,0.07687452853001353,0.07776470142113401,-0.0008901728911204776,-1.1447004551586426,1.0123645149412102,1.012364514941212,-1.7763568394002505e-15,-1.7763568394002505e-13,5.914768888401754,6.273673177927423,-0.3589042895256682,-5.720799910145081
property-tax-2pct-no-rebate,Property tax: 1% to 2% (no rebate),2031,0.6244083101883344,0.6912443093083752,-0.06683599912004079,-9.668940231408719,0.12844795096881254,0.11454711018153796,0.013900840787274577,12.135479249755043,0.6316291807931249,0.649272475632069,-0.017643294838944112,-2.717394545605567,0.5982573072308397,0.6241091788976564,-0.025851871666816684,-4.142203406217804,0.07022268370829739,0.07105466018308709,-0.0008319764747897057,-1.170896423466028,1.0091054838816047,1.0091054838816058,-1.1102230246251565e-15,-1.1102230246251565e-13,5.8691087046081805,6.257457105599722,-0.3883484009915419,-6.206169605925282
property-tax-2pct-no-rebate,Property tax: 1% to 2% (no rebate),2035,0.6069677476975568,0.6752835404477227,-0.06831579275016586,-10.116608603383327,0.12486022723238721,0.11190222772153985,0.012957999510847362,11.57975115838834,0.6414801105014892,0.6564764757766887,-0.01499636527519943,-2.2843720725037375,0.6073095662916527,0.6303452949961523,-0.02303572870449966,-3.654461909585649,0.064500778021509,0.0652910327446983,-0.0007902547231893042,-1.2103572113484007,0.9917852542663348,0.991785254266334,7.771561172376096e-16,8.881784197001252e-14,5.866098136116408,6.273460245725553,-0.4073621096091449,-6.49341979789706
property-tax-2pct-no-rebate,Property tax: 1% to 2% (no rebate),2039,0.5868044752262082,0.6543597654921126,-0.06755529026590446,-10.323875920931558,0.12071241082522022,0.10843491822910865,0.012277492596111564,11.32245294838592,0.6513062867955405,0.6639137237616692,-0.01260743696612876,-1.8989571257386095,0.616158060386805,0.6342371207317846,-0.018079060344979636,-2.8505206891895507,0.060127126430915105,0.060891900948124224,-0.0007647745172091186,-1.255954413150373,0.9656944497078298,0.9656944497078297,1.1102230246251565e-16,2.220446049250313e-14,5.897671577100798,6.316560162810545,-0.4188885857097473,-6.631593381726986
property-tax-2pct-no-rebate,Property tax: 1% to 2% (no rebate),2043,0.565475313620065,0.6310624956368833,-0.06558718201681835,-10.393135778196772,0.11632475765102493,0.10457429340934547,0.011750464241679456,11.236474910409822,0.6602060074161376,0.6706200824312116,-0.010414075015074076,-1.5529023493182192,0.6238749216133571,0.6358939593936536,-0.012019037780296449,-1.890100952013607,0.059035573488969706,0.05984845824686517,-0.0008128847578954615,-1.3582384270325654,0.9332386869494331,0.9336999909774077,-0.00046130402797461834,-0.049406022537468175,5.962018730634378,6.385486081267915,-0.4234673506335369,-6.631716759602623
