f_c_y,control,K,rows
1995,0,1,67
1995,0,2,54
1995,0,4,51
1995,0,6,49
1995,0,8,49
1995,0,10,48
1995,0,12,46
1995,0,14,44
1995,0,16,42
1995,0,18,42
1995,0,20,39
1995,0,22,37
1995,0,24,34
1996,0,-21,3
1996,0,-20,3
1996,0,-19,3
1996,0,-18,3
1996,0,-17,5
1996,0,-16,7
1996,0,-15,8
1996,0,-14,13
1996,0,-13,15
1996,0,-12,17
1996,0,-11,14
1996,0,-10,12
1996,0,-9,22
1996,0,-8,27
1996,0,-7,36
1996,0,-6,37
1996,0,-5,37
1996,0,-4,45
1996,0,-3,54
1996,0,-2,62
1996,0,-1,58
1996,0,0,59
1996,0,1,54
1996,0,3,55
1996,0,5,54
1996,0,7,55
1996,0,9,55
1996,0,11,53
1996,0,13,52
1996,0,15,55
1996,0,17,49
1996,0,19,46
1996,0,21,42
1996,0,23,42
1997,0,-20,2
1997,0,-19,2
1997,0,-18,6
1997,0,-17,7
1997,0,-16,7
1997,0,-15,8
1997,0,-14,13
1997,0,-13,12
1997,0,-12,15
1997,0,-11,18
1997,0,-10,17
1997,0,-9,23
1997,0,-8,22
1997,0,-7,26
1997,0,-6,27
1997,0,-5,35
1997,0,-4,38
1997,0,-3,47
1997,0,-2,46
1997,0,-1,46
1997,0,0,41
1997,0,2,45
1997,0,4,45
1997,0,6,43
1997,0,8,45
1997,0,10,43
1997,0,12,41
1997,0,14,40
1997,0,16,37
1997,0,18,32
1997,0,20,30
1997,0,22,26
1998,0,-20,1
1998,0,-19,4
1998,0,-18,4
1998,0,-17,5
1998,0,-16,6
1998,0,-15,7
1998,0,-14,9
1998,0,-13,13
1998,0,-12,16
1998,0,-11,18
1998,0,-10,20
1998,0,-9,24
1998,0,-8,27
1998,0,-7,26
1998,0,-6,30
1998,0,-5,34
1998,0,-4,43
1998,0,-3,43
1998,0,-2,41
1998,0,-1,39
1998,0,1,44
1998,0,3,42
1998,0,5,41
1998,0,7,43
1998,0,9,40
1998,0,11,37
1998,0,13,36
1998,0,15,34
1998,0,17,31
1998,0,19,29
1998,0,21,30
1999,0,-22,1
1999,0,-21,1
1999,0,-20,3
1999,0,-19,3
1999,0,-18,4
1999,0,-17,5
1999,0,-16,5
1999,0,-15,6
1999,0,-14,7
1999,0,-13,8
1999,0,-12,10
1999,0,-11,12
1999,0,-10,12
1999,0,-9,14
1999,0,-8,21
1999,0,-7,20
1999,0,-6,29
1999,0,-5,33
1999,0,-4,35
1999,0,-3,33
1999,0,-2,47
1999,0,0,46
1999,0,2,45
1999,0,4,41
1999,0,6,43
1999,0,8,45
1999,0,10,40
1999,0,12,39
1999,0,14,39
1999,0,16,31
1999,0,18,28
1999,0,20,26
2000,0,-21,1
2000,0,-20,1
2000,0,-19,1
2000,0,-18,4
2000,0,-17,7
2000,0,-16,8
2000,0,-15,8
2000,0,-14,8
2000,0,-13,10
2000,0,-12,12
2000,0,-11,16
2000,0,-10,19
2000,0,-9,21
2000,0,-8,22
2000,0,-7,32
2000,0,-6,38
2000,0,-5,38
2000,0,-4,42
2000,0,-3,48
2000,0,-1,47
2000,0,1,43
2000,0,3,43
2000,0,5,44
2000,0,7,42
2000,0,9,43
2000,0,11,43
2000,0,13,42
2000,0,15,42
2000,0,17,35
2000,0,19,36
2001,0,-27,1
2001,0,-26,2
2001,0,-25,2
2001,0,-24,1
2001,0,-23,1
2001,0,-22,2
2001,0,-21,3
2001,0,-20,3
2001,0,-19,3
2001,0,-18,3
2001,0,-17,6
2001,0,-16,7
2001,0,-15,10
2001,0,-14,13
2001,0,-13,16
2001,0,-12,18
2001,0,-11,25
2001,0,-10,27
2001,0,-9,28
2001,0,-8,34
2001,0,-7,43
2001,0,-6,49
2001,0,-5,54
2001,0,-4,62
2001,0,-2,67
2001,0,0,65
2001,0,2,63
2001,0,4,59
2001,0,6,61
2001,0,8,58
2001,0,10,57
2001,0,12,59
2001,0,14,51
2001,0,16,48
2001,0,18,43
2002,0,-20,1
2002,0,-18,2
2002,0,-17,4
2002,0,-16,3
2002,0,-15,5
2002,0,-14,7
2002,0,-13,7
2002,0,-12,9
2002,0,-11,11
2002,0,-10,15
2002,0,-9,22
2002,0,-8,24
2002,0,-7,28
2002,0,-6,33
2002,0,-5,34
2002,0,-3,42
2002,0,-1,39
2002,0,1,42
2002,0,3,40
2002,0,5,38
2002,0,7,39
2002,0,9,37
2002,0,11,37
2002,0,13,33
2002,0,15,28
2002,0,17,28
2003,0,-21,1
2003,0,-20,3
2003,0,-19,4
2003,0,-18,4
2003,0,-17,7
2003,0,-16,9
2003,0,-15,16
2003,0,-14,14
2003,0,-13,14
2003,0,-12,21
2003,0,-11,24
2003,0,-10,26
2003,0,-9,29
2003,0,-8,37
2003,0,-7,39
2003,0,-6,41
2003,0,-4,52
2003,0,-2,63
2003,0,0,61
2003,0,2,58
2003,0,4,59
2003,0,6,60
2003,0,8,58
2003,0,10,55
2003,0,12,56
2003,0,14,55
2003,0,16,53
2004,0,-25,1
2004,0,-24,3
2004,0,-23,3
2004,0,-22,3
2004,0,-21,2
2004,0,-20,3
2004,0,-19,3
2004,0,-18,9
2004,0,-17,9
2004,0,-16,11
2004,0,-15,13
2004,0,-14,17
2004,0,-13,17
2004,0,-12,18
2004,0,-11,28
2004,0,-10,35
2004,0,-9,35
2004,0,-8,34
2004,0,-7,45
2004,0,-5,56
2004,0,-3,68
2004,0,-1,59
2004,0,1,66
2004,0,3,63
2004,0,5,63
2004,0,7,64
2004,0,9,58
2004,0,11,56
2004,0,13,55
2004,0,15,48
2005,0,-31,1
2005,0,-30,1
2005,0,-29,1
2005,0,-28,1
2005,0,-27,1
2005,0,-26,1
2005,0,-24,1
2005,0,-23,1
2005,0,-22,1
2005,0,-21,2
2005,0,-20,2
2005,0,-19,2
2005,0,-18,2
2005,0,-17,4
2005,0,-16,4
2005,0,-15,5
2005,0,-14,5
2005,0,-13,10
2005,0,-12,15
2005,0,-11,21
2005,0,-10,28
2005,0,-9,33
2005,0,-8,47
2005,0,-6,59
2005,0,-4,68
2005,0,-2,84
2005,0,0,84
2005,0,2,80
2005,0,4,77
2005,0,6,73
2005,0,8,65
2005,0,10,60
2005,0,12,60
2005,0,14,59
2006,0,-28,1
2006,0,-27,1
2006,0,-26,1
2006,0,-25,1
2006,0,-24,1
2006,0,-20,2
2006,0,-19,2
2006,0,-18,1
2006,0,-17,2
2006,0,-16,1
2006,0,-15,2
2006,0,-14,6
2006,0,-13,9
2006,0,-12,9
2006,0,-11,18
2006,0,-10,16
2006,0,-9,25
2006,0,-7,33
2006,0,-5,43
2006,0,-3,55
2006,0,-1,50
2006,0,1,48
2006,0,3,50
2006,0,5,45
2006,0,7,41
2006,0,9,44
2006,0,11,46
2006,0,13,43
2007,0,-25,1
2007,0,-24,1
2007,0,-23,1
2007,0,-22,1
2007,0,-21,3
2007,0,-20,2
2007,0,-19,3
2007,0,-18,4
2007,0,-17,6
2007,0,-16,7
2007,0,-15,6
2007,0,-14,9
2007,0,-13,16
2007,0,-12,23
2007,0,-11,33
2007,0,-10,37
2007,0,-8,48
2007,0,-6,50
2007,0,-4,67
2007,0,-2,74
2007,0,0,71
2007,0,2,67
2007,0,4,65
2007,0,6,63
2007,0,8,57
2007,0,10,52
2007,0,12,50
2008,0,-23,1
2008,0,-22,1
2008,0,-21,2
2008,0,-20,3
2008,0,-19,3
2008,0,-18,4
2008,0,-17,8
2008,0,-16,9
2008,0,-15,10
2008,0,-14,13
2008,0,-13,18
2008,0,-12,23
2008,0,-11,32
2008,0,-9,45
2008,0,-7,60
2008,0,-5,68
2008,0,-3,79
2008,0,-1,72
2008,0,1,72
2008,0,3,68
2008,0,5,68
2008,0,7,65
2008,0,9,60
2008,0,11,61
2009,0,-23,1
2009,0,-22,1
2009,0,-21,3
2009,0,-20,3
2009,0,-19,2
2009,0,-18,2
2009,0,-17,3
2009,0,-16,10
2009,0,-15,13
2009,0,-14,13
2009,0,-13,18
2009,0,-12,34
2009,0,-10,43
2009,0,-8,60
2009,0,-6,61
2009,0,-4,75
2009,0,-2,87
2009,0,0,83
2009,0,2,82
2009,0,4,80
2009,0,6,79
2009,0,8,71
2009,0,10,63
2010,0,-34,1
2010,0,-32,1
2010,0,-31,1
2010,0,-30,1
2010,0,-29,1
2010,0,-28,1
2010,0,-27,1
2010,0,-26,1
2010,0,-25,1
2010,0,-24,1
2010,0,-23,1
2010,0,-22,3
2010,0,-21,1
2010,0,-20,3
2010,0,-19,4
2010,0,-18,8
2010,0,-17,6
2010,0,-16,11
2010,0,-15,15
2010,0,-14,15
2010,0,-13,20
2010,0,-11,29
2010,0,-9,43
2010,0,-7,57
2010,0,-5,75
2010,0,-3,81
2010,0,-1,72
2010,0,1,77
2010,0,3,77
2010,0,5,66
2010,0,7,70
2010,0,9,63
2011,0,-19,1
2011,0,-18,1
2011,0,-17,4
2011,0,-16,6
2011,0,-15,8
2011,0,-14,9
2011,0,-12,15
