stage,cell,case_id,estimate,interpretation,lower,near_bound,parameter,status,structural_coordinate,transform,upper,actual_lower,actual_upper,near_actual_bound,restriction_type
production,B_floor,worker01_proposal09,0.08989006472760297,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0,0.02,16.0,True,searched
production,B_floor,worker01_proposal09,0.323986255352231,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0,0.0,8.0,False,searched
production,B_floor,worker01_proposal09,2.3,mapped first-child requirement,0.1,True,h_P,diagnostic candidate; not a certified estimate,True,log,2.3,0.1,2.3,True,searched
production,B_floor,worker01_proposal09,0.0,,,False,hbar_child_rooms,zero restriction,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal09,0.1447804453281848,,,False,psi_child,normalized to 2.1,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal09,0.179,,,False,payroll_tax,externally fixed,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal09,2.0463613896121235,,,False,pension_period,budget derived,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal09,0.63,,,False,housing_supply_elasticity,externally fixed,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal09,0.005,,,False,tenure_choice_kappa,externally fixed,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal09,0.733,,,False,alpha_cons,externally fixed,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal09,2.0,,,False,sigma,externally fixed,False,,,,,,externally_fixed_or_derived
production,B_floor,worker01_proposal10,0.9838905917031715,structural coordinate,0.94,False,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.9995,0.94,0.99,False,searched
production,B_floor,worker01_proposal10,0.2647345877262783,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0,0.02,50.0,True,searched
production,B_floor,worker01_proposal10,0.5041386425283207,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0,0.02,50.0,True,searched
production,B_floor,worker01_proposal10,0.900206405712435,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0,0.1,5.0,False,searched
production,B_floor,worker01_proposal10,9.954157626771847,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0,0.2,80.0,False,searched
production,B_floor,worker01_proposal10,0.04018392552960207,structural coordinate,0.0,True,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0,0.0,8.0,True,searched
production,B_floor,worker01_proposal10,0.08989006472760297,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0,0.02,16.0,True,searched
production,B_floor,worker01_proposal10,0.323986255352231,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0,0.0,8.0,False,searched
production,B_floor,worker01_proposal10,2.3,mapped first-child requirement,0.1,True,h_P,diagnostic candidate; not a certified estimate,True,log,2.3,0.1,2.3,True,searched
production,B_floor,worker01_proposal10,0.0,,,False,hbar_child_rooms,zero restriction,False,,,,,,externally_fixed_or_derived
