rep,exact_builder_sample__ratio_p90_p50,exact_builder_sample__ratio_p50,exact_builder_sample__ratio_p90,exact_builder_sample__wealth_p90_p50,exact_builder_sample__wealth_p50,exact_builder_sample__wealth_p90,no_children_history_filter__ratio_p90_p50,no_children_history_filter__ratio_p50,no_children_history_filter__ratio_p90,no_children_history_filter__wealth_p90_p50,no_children_history_filter__wealth_p50,no_children_history_filter__wealth_p90
107,3.21116072580853,7.28579300191372,23.395852344116,4.54021739130435,253814.777840833,1152374.268523,3.21116072580853,7.28579300191372,23.395852344116,4.54021739130435,253814.777840833,1152374.268523
108,3.24118250662804,7.54958131274561,24.469570883237,4.50190361669393,276299.456529993,1243873.52264294,3.24118250662804,7.54958131274561,24.469570883237,4.50190361669393,276299.456529993,1243873.52264294
109,3.61294018841268,7.36897097780377,26.6236513929539,5.33241835443585,278088.693048379,1482885.25097225,3.61294018841268,7.36897097780377,26.6236513929539,5.33241835443585,278088.693048379,1482885.25097225
110,3.94779411764706,7.10528451857492,28.0502004266388,4.82305891948142,253814.777840833,1224163.62816142,3.94779411764706,7.10528451857492,28.0502004266388,4.82305891948142,253814.777840833,1224163.62816142
111,3.2329519604576,7.69934194431794,24.8916026331161,4.6129719528818,269488.011820079,1243140.6401639,3.2329519604576,7.69934194431794,24.8916026331161,4.6129719528818,269488.011820079,1243140.6401639
112,4.00057926939647,6.84413703889377,27.380512754707,4.32978723404255,259332.49040259,1122854.5063176,4.00057926939647,6.84413703889377,27.380512754707,4.32978723404255,259332.49040259,1122854.5063176
113,3.45720795619308,7.94863903415082,27.4800981097731,4.30051813471503,276655.246176996,1189760.90324822,3.45720795619308,7.94863903415082,27.4800981097731,4.30051813471503,276655.246176996,1189760.90324822
114,3.37398435185111,7.59232188924848,25.616375248541,4.875,255153.543106245,1243873.52264294,3.37398435185111,7.59232188924848,25.616375248541,4.875,255153.543106245,1243873.52264294
115,3.38894465866815,7.50908240923532,25.447864722277,4.17074388417374,276299.456529993,1152374.268523,3.38894465866815,7.50908240923532,25.447864722277,4.17074388417374,276299.456529993,1152374.268523
116,3.37076503558079,7.54958131274561,25.447864722277,4.89159105711733,266229.631104786,1302286.48265182,3.37076503558079,7.54958131274561,25.447864722277,4.89159105711733,266229.631104786,1302286.48265182
