age,tenure,mass,budget_excess_mass,budget_excess_share,consumption_floor_mass,weighted_positive_budget_gap,maximum_occupied_excess
66.0,0,0.03979793218707599,0.0,0.0,0.0,1.1603360091633264e-19,8.881784197001252e-16
66.0,1,0.004111425818319825,0.0,0.0,0.0,0.0,0.0
66.0,2,0.01026937930859547,0.0,0.0,0.0,3.558517026175142e-20,4.440892098500626e-16
66.0,3,0.010872864124618546,0.0,0.0,0.0,1.0247918823349563e-19,4.440892098500626e-16
66.0,4,0.0063108057774141114,0.0,0.0,0.0,1.5188784947827334e-23,1.1102230246251565e-16
66.0,5,0.008646601123111376,0.0,0.0,0.0,5.925143984371143e-20,8.881784197001252e-16
70.0,0,0.03461447531615079,0.0,0.0,0.0,2.3009662337424588e-19,8.881784197001252e-16
70.0,1,0.0015990478469738618,0.0,0.0,0.0,0.0,0.0
70.0,2,0.010748044454575684,0.0,0.0,0.0,1.6347614488483426e-19,4.440892098500626e-16
70.0,3,0.0096950021039066,0.0,0.0,0.0,8.439610128744887e-21,2.220446049250313e-16
70.0,4,0.005367640415761406,0.0,0.0,0.0,2.8139552416662895e-23,8.881784197001252e-16
70.0,5,0.007603369348703943,0.0,0.0,0.0,2.461275431079727e-19,8.881784197001252e-16
74.0,0,0.02841231975058882,0.0,0.0,0.0,3.4004018364551247e-19,3.552713678800501e-15
74.0,1,0.0005943163425156069,0.0,0.0,0.0,0.0,0.0
74.0,2,0.009336252734972532,0.0,0.0,0.0,2.026275411688485e-19,4.440892098500626e-16
74.0,3,0.008138494879465113,0.0,0.0,0.0,1.0166765076583701e-20,2.220446049250313e-16
74.0,4,0.004259643939887071,0.0,0.0,0.0,3.075698602533197e-21,8.881784197001252e-16
74.0,5,0.006434467298047074,0.0,0.0,0.0,1.631030924843657e-19,8.881784197001252e-16
78.0,0,0.01963918002671936,0.0,0.0,0.0,1.3096630244359133e-18,3.552713678800501e-15
78.0,1,2.7019051488109854e-05,0.0,0.0,0.0,0.0,0.0
78.0,2,0.006793836382314206,0.0,0.0,0.0,1.3758262812911243e-19,2.220446049250313e-16
78.0,3,0.005487127609572201,0.0,0.0,0.0,2.3540449648820172e-20,8.881784197001252e-16
78.0,4,0.0030314953055048392,0.0,0.0,0.0,7.657765680723398e-22,8.881784197001252e-16
78.0,5,0.004549029949773841,0.0,0.0,0.0,2.1432767424521385e-19,1.7763568394002505e-15
82.0,0,0.012928873922911994,0.0,0.0,0.0,9.918403208954234e-20,3.552713678800501e-15
82.0,1,0.0,0.0,0.0,0.0,0.0,0.0
82.0,2,0.0038870837595149994,0.0,0.0,0.0,1.7369339979415984e-20,2.220446049250313e-16
82.0,3,0.0038019947087633977,0.0,0.0,0.0,2.77256941240321e-23,4.440892098500626e-16
82.0,4,0.0022286486799396243,0.0,0.0,0.0,1.9661312507045936e-22,4.440892098500626e-16
82.0,5,0.0032721089978092416,0.0,0.0,0.0,2.5869008686814015e-19,1.7763568394002505e-15
