diagnostic,name,value,notes,age,z,stationary_mass,transition_row,mass_share,mean_liquid_wealth,mean_income,own_rate,fertility_choice,wealth_bin,expected_completed_fertility_choice,mass
state_size,Nb,30,,,,,,,,,,,,,
state_size,tenure_states,7,,,,,,,,,,,,,
state_size,locations,2,,,,,,,,,,,,,
state_size,ages,60,,,,,,,,,,,,,
state_size,fertility_states,4,,,,,,,,,,,,,
state_size,child_age_states,7,,,,,,,,,,,,,
state_size,z_states,3,,,,,,,,,,,,,
state_size,mu_states,0,,,,,,,,,,,,,
z_by_age,,,,53.0,0.0,,,0.4705881689861636,-0.16143992415780958,0.8086850000000002,0.8941897578510324,,,,
z_by_age,,,,53.0,0.28,,,0.2647059155070363,0.3561756656108814,1.0699952322901,0.9305529695325528,,,,
z_by_age,,,,54.0,-0.28,,,0.2647059042344568,-0.4151256634620265,0.6111909749591232,0.8476064810466953,,,,
z_by_age,,,,54.0,0.0,,,0.47058819153085896,-0.08886857516425017,0.808685,0.9015067069967474,,,,
z_by_age,,,,54.0,0.28,,,0.2647059042346844,0.4424486824561786,1.0699952322901,0.9342537401532738,,,,
z_by_age,,,,55.0,-0.28,,,0.26470589679470446,-0.3567027409195995,0.5801660523723657,0.8588253042408709,,,,
z_by_age,,,,55.0,0.0,,,0.4705882064103724,-0.01852323942664079,0.767635,0.9096176129853077,,,,
z_by_age,,,,55.0,0.28,,,0.264705896794923,0.5142765570265382,1.0156807534936485,0.9410016486926666,,,,
z_by_age,,,,56.0,-0.28,,,0.2647058918844626,-0.32961454826518294,0.5801660523723657,0.8716750749560276,,,,
z_by_age,,,,56.0,0.0,,,0.470588216230855,0.011944716802666176,0.767635,0.9177347907839892,,,,
z_by_age,,,,56.0,0.28,,,0.2647058918846824,0.5409132536302714,1.015680753493648,0.9461372003303349,,,,
z_by_age,,,,57.0,-0.28,,,0.26470588864376454,-0.29948920697557474,0.5801660523723658,0.8825544295742481,,,,
z_by_age,,,,57.0,0.0,,,0.470588222712312,0.05528639586977124,0.7676350000000001,0.922350914684429,,,,
z_by_age,,,,57.0,0.28,,,0.2647058886439234,0.5820071087536376,1.015680753493648,0.9485143449059714,,,,
z_by_age,,,,58.0,-0.28,,,0.2647058865048716,-0.26161101064312703,0.5801660523723658,0.8904634373456389,,,,
z_by_age,,,,58.0,0.0,,,0.4705882269901225,0.10928109422492994,0.7676350000000001,0.9241687279296581,,,,
z_by_age,,,,58.0,0.28,,,0.2647058865050061,0.6254027649724578,1.0156807534936478,0.950544824432816,,,,
z_by_age,,,,59.0,-0.28,,,0.26470588509321147,-0.22666639603978564,0.5801660523723658,0.8984851575261923,,,,
z_by_age,,,,59.0,0.0,,,0.4705882298134728,0.14841448365792395,0.7676349999999998,0.9296024021552957,,,,
z_by_age,,,,59.0,0.28,,,0.26470588509331566,0.6652752736602815,1.015680753493648,0.95306182266175,,,,
z_by_age,,,,60.0,-0.28,,,0.26470588416149454,-0.18229627600891396,0.5801660523723657,0.9031407543349471,,,,
z_by_age,,,,60.0,0.0,,,0.4705882316768954,0.19515013282889776,0.7676349999999998,0.932251979303747,,,,
z_by_age,,,,60.0,0.28,,,0.26470588416161,0.6965539606897354,1.0156807534936483,0.9569481609301901,,,,
z_by_age,,,,61.0,-0.28,,,0.2647058835465545,-0.13860293786534467,0.5801660523723657,0.9067821992813703,,,,
z_by_age,,,,61.0,0.0,,,0.4705882329067699,0.24452188223332838,0.7676349999999997,0.9325780618469797,,,,
z_by_age,,,,61.0,0.28,,,0.26470588354667585,0.7499450469380922,1.0156807534936483,0.9549143163150486,,,,
z_by_age,,,,62.0,-0.28,,,0.2647058831406715,-0.0893510155502967,0.5801660523723656,0.9079413435075944,,,,
z_by_age,,,,62.0,0.0,,,0.4705882337184854,0.32289674704427057,0.767635,0.9261073452242994,,,,
z_by_age,,,,62.0,0.28,,,0.26470588314084315,0.8337848815098957,1.0156807534936483,0.9467843547800324,,,,
z_by_age,,,,63.0,-0.28,,,0.2647058828727687,-0.018276252098005014,0.5801660523723657,0.9019812644668063,,,,
z_by_age,,,,63.0,0.0,,,0.4705882342542364,0.40697799826882847,0.7676349999999998,0.9170438507871999,,,,
z_by_age,,,,63.0,0.28,,,0.264705882872995,0.9092847067006685,1.0156807534936485,0.9402766902853507,,,,
z_by_age,,,,64.0,-0.28,,,0.26470588269605394,0.07420712428335784,0.5801660523723657,0.8894135116253101,,,,
z_by_age,,,,64.0,0.0,,,0.470588234607837,0.5127055968201115,0.767635,0.9028144394378381,,,,
z_by_age,,,,64.0,0.28,,,0.26470588269610906,1.0344948129261389,1.0156807534936485,0.9245713303133912,,,,
z_by_age,,,,65.0,-0.28,,,0.2647058825793742,0.1736164830730281,0.5719050000000001,0.8730628845502875,,,,
z_by_age,,,,65.0,0.0,,,0.4705882348412355,0.6257095740946811,0.5719050000000002,0.8866922719510894,,,,
z_by_age,,,,65.0,0.28,,,0.26470588257939026,1.1625212857466527,0.5719050000000002,0.9085293471348724,,,,
z_by_age,,,,66.0,-0.28,,,0.26470588250240173,0.2292637162770974,0.5719050000000001,0.8542918268880011,,,,
z_by_age,,,,66.0,0.0,,,0.4705882349952462,0.5640203458175373,0.5719050000000002,0.8686141009994087,,,,
z_by_age,,,,66.0,0.28,,,0.26470588250235205,0.9437589836757875,0.5719050000000002,0.8884938046579285,,,,
z_by_age,,,,67.0,-0.28,,,0.2647058824515089,0.2467036075432658,0.5719050000000003,0.8356175592117114,,,,
