case,age,z_index,z,timing,state_mass,valid_nodes,negative_owner_steps_all_valid,negative_owner_steps_occupied_lower,lower_node_mass_at_negative_owner_steps,largest_owner_drop_all_valid,largest_owner_drop_occupied_lower,masked_node_mass,occupied_threshold,probability_step_threshold
old_old,42,5,0.32846680176271387,post_fertility_pre_tenure,0.00024296482625745322,97,26,26,2.6229214322722332e-05,0.057669103145599365,0.057669103145599365,0.0,1e-12,1e-07
old_old,42,5,0.32846680176271387,current_post_tenure,0.00022382866535385692,97,26,26,1.4266864077788284e-05,0.057669103145599365,0.057669103145599365,0.0,1e-12,1e-07
old_old,42,6,0.4977813254644079,pre_fertility,0.0008899210804719838,107,26,25,0.00041103783537935944,0.04247152805328369,0.04247152805328369,0.0,1e-12,1e-07
old_old,42,6,0.4977813254644079,post_fertility_pre_tenure,0.0007639636609519268,107,26,25,0.00035278474298031397,0.04247152805328369,0.04247152805328369,0.0,1e-12,1e-07
old_old,42,6,0.4977813254644079,current_post_tenure,0.0006613781809607817,107,26,25,0.00029530765419738737,0.04247152805328369,0.04247152805328369,0.0,1e-12,1e-07
old_old,42,7,0.7543722733967643,pre_fertility,0.0009598502734024439,111,20,20,0.0003324459371613461,0.013826996088027954,0.013826996088027954,0.0,1e-12,1e-07
old_old,42,7,0.7543722733967643,post_fertility_pre_tenure,0.0008212812888319008,111,20,20,0.0002843686067921866,0.013826996088027954,0.013826996088027954,0.0,1e-12,1e-07
old_old,42,7,0.7543722733967643,current_post_tenure,0.0005373791420804673,111,20,20,0.00018785462942620408,0.013826996088027954,0.013826996088027954,0.0,1e-12,1e-07
old_old,42,8,1.1432279552449633,pre_fertility,0.00047315271021836915,114,11,8,6.081221135572215e-05,0.014879465103149414,0.014879465103149414,0.0,1e-12,1e-07
old_old,42,8,1.1432279552449633,post_fertility_pre_tenure,0.00040377224582911666,114,11,8,5.192794145586415e-05,0.014879465103149414,0.014879465103149414,0.0,1e-12,1e-07
old_old,42,8,1.1432279552449633,current_post_tenure,0.0002411970205986238,114,11,8,3.506716733357753e-05,0.014879465103149414,0.014879465103149414,0.0,1e-12,1e-07
old_old,42,9,1.7325267692681683,pre_fertility,7.965855832398562e-05,118,9,6,1.9717955742899124e-06,0.0047255754470825195,0.002905137836933136,0.0,1e-12,1e-07
old_old,42,9,1.7325267692681683,post_fertility_pre_tenure,6.78335894662904e-05,118,9,6,1.6802675379577587e-06,0.0047255754470825195,0.002905137836933136,0.0,1e-12,1e-07
old_old,42,9,1.7325267692681683,current_post_tenure,2.6641910903201485e-05,118,9,6,1.390454858201158e-06,0.0047255754470825195,0.002905137836933136,0.0,1e-12,1e-07
old_old,42,10,0.9729441212847109,pre_fertility,8.989377588817606e-06,117,7,7,5.864738187860723e-08,0.002368330955505371,0.002368330955505371,0.0,1e-12,1e-07
old_old,42,10,0.9729441212847109,post_fertility_pre_tenure,7.658392233133844e-06,117,7,7,4.9783474078415566e-08,0.002368330955505371,0.002368330955505371,0.0,1e-12,1e-07
old_old,42,10,0.9729441212847109,current_post_tenure,6.3381843964747665e-06,117,7,7,3.335876795783187e-08,0.002368330955505371,0.002368330955505371,0.0,1e-12,1e-07
old_old,42,11,1.4744668614814156,pre_fertility,1.9021776661316327e-05,120,13,13,9.28290292641961e-07,0.0014618635177612305,0.0014618635177612305,0.0,1e-12,1e-07
old_old,42,11,1.4744668614814156,post_fertility_pre_tenure,1.6175099809066706e-05,120,13,13,7.878198352345295e-07,0.0014618635177612305,0.0014618635177612305,0.0,1e-12,1e-07
old_old,42,11,1.4744668614814156,current_post_tenure,7.480569946643615e-06,120,13,13,5.742232607799246e-07,0.0014618635177612305,0.0014618635177612305,0.0,1e-12,1e-07
old_old,42,12,2.234509133716906,pre_fertility,1.656521683979299e-05,120,28,28,4.005557315306174e-06,0.0024950504302978516,0.0024950504302978516,0.0,1e-12,1e-07
old_old,42,12,2.234509133716906,post_fertility_pre_tenure,1.4066129404208891e-05,120,28,28,3.3986258727756037e-06,0.0024950504302978516,0.0024950504302978516,0.0,1e-12,1e-07
old_old,42,12,2.234509133716906,current_post_tenure,6.552443753117836e-06,120,28,28,3.1839238885098795e-06,0.0024950504302978516,0.0024950504302978516,0.0,1e-12,1e-07
old_old,42,13,3.3863297976379867,pre_fertility,8.620513467565479e-06,120,40,40,3.795381136895042e-06,0.00525742769241333,0.00525742769241333,0.0,1e-12,1e-07
old_old,42,13,3.3863297976379867,post_fertility_pre_tenure,7.311403996117592e-06,120,40,40,3.218763515897564e-06,0.00525742769241333,0.00525742769241333,0.0,1e-12,1e-07
old_old,42,13,3.3863297976379867,current_post_tenure,5.777752310554455e-06,120,40,40,3.594320127863653e-06,0.00525742769241333,0.00525742769241333,0.0,1e-12,1e-07
old_old,42,14,5.131878552358484,pre_fertility,2.2242986076827303e-06,120,41,41,5.592578439285624e-07,0.004474341869354248,0.004474341869354248,0.0,1e-12,1e-07
old_old,42,14,5.131878552358484,post_fertility_pre_tenure,1.8848873736130126e-06,120,41,41,4.740436036636757e-07,0.004474341869354248,0.004474341869354248,0.0,1e-12,1e-07
old_old,42,14,5.131878552358484,current_post_tenure,1.7702737308641462e-06,120,41,41,7.326986306087616e-07,0.004474341869354248,0.004474341869354248,0.0,1e-12,1e-07
