age,age_index,tenure,income_index,z,children_ever_born,dependent_child_state,wealth_index,wealth,mass,gap,consumption,saving,housing,housing_cost,resources,income,child_consumption_requirement,value,baseline_housing,dc,current_surplus,housing_cap_binds,exact_consumption,exact_housing,exact_budget_gap
34.0,4,0,0,0.04352796175135016,3,3,47,0.1627906976744189,1.8502679091173032e-54,0.04116941688489684,0.04,0.0630311864142608,2.3099999999999996,0.27281000305129033,0.3346717725806543,0.15846188606902603,0.0,-1373955156.1827424,2.3,0.2716290073670856,1.1578799307868093e-05,False,8.487259892667312e-06,2.300026177398076,0.0
38.0,5,0,0,0.04352796175135016,1,1,47,0.1627906976744189,1.4728237687614845e-23,0.041169699234061,0.04,0.06303146876342497,2.3099999999999996,0.27281000305129033,0.3346717725806543,0.15846188606902603,0.0,-1056953151.0607699,2.3,0.2716290073670856,1.129645014369407e-05,False,8.280297955327754e-06,2.3000255390619007,0.0
38.0,5,0,0,0.04352796175135016,2,1,47,0.1627906976744189,1.021823139353841e-26,0.041169699234061,0.04,0.06303146876342497,2.3099999999999996,0.27281000305129033,0.3346717725806543,0.15846188606902603,0.0,-1056953151.0607699,2.3,0.2716290073670856,1.129645014369407e-05,False,8.280297955327754e-06,2.3000255390619007,0.0
38.0,5,0,0,0.04352796175135016,2,2,47,0.1627906976744189,1.275452771770971e-58,0.04116992862618096,0.04,0.06303169815554495,2.3099999999999996,0.27281000305129033,0.3346717725806543,0.15846188606902603,0.0,-1310556936.2504597,2.3,0.2716290073670856,1.1067058023714327e-05,False,8.1121535313826e-06,2.300025020451233,-5.551115123125783e-17
38.0,5,0,0,0.04352796175135016,3,1,47,0.1627906976744189,6.660372534466439e-29,0.04116969923406116,0.04,0.06303146876342512,2.3099999999999996,0.27281000305129033,0.3346717725806543,0.15846188606902603,0.0,-1056953151.0909315,2.3,0.2716290073670856,1.1296450143541414e-05,False,8.280297955215856e-06,2.3000255390619,0.0
38.0,5,0,0,0.04352796175135016,3,2,47,0.1627906976744189,1.3885073474579199e-58,0.04116992862618113,0.04,0.06303169815554509,2.3099999999999996,0.27281000305129033,0.3346717725806543,0.15846188606902603,0.0,-1310556936.287686,2.3,0.2716290073670856,1.1067058023575549e-05,False,8.112153531280877e-06,2.300025020451233,5.551115123125783e-17
38.0,5,0,0,0.04352796175135016,3,3,47,0.1627906976744189,4.424632400998662e-64,0.04116941581495803,0.04,0.06303118534432199,2.3099999999999996,0.27281000305129033,0.3346717725806543,0.15846188606902603,0.0,-1375007178.248339,2.3,0.2716290073670856,1.1579869246672314e-05,False,8.488044157810806e-06,2.3000261798169985,5.551115123125783e-17
42.0,6,0,0,0.04352796175135016,1,1,47,0.1627906976744189,3.973887640037763e-24,0.04116969884667032,0.04,0.06303146837603428,2.3099999999999996,0.27281000305129033,0.3346717725806543,0.15846188606902603,0.0,-1061016957.4693931,2.3,0.2716290073670856,1.1296837534383042e-05,False,8.28058191270277e-06,2.300025539937715,0.0
42.0,6,0,0,0.04352796175135016,2,1,47,0.1627906976744189,8.823464149295547e-27,0.04116969884667032,0.04,0.06303146837603428,2.3099999999999996,0.27281000305129033,0.3346717725806543,0.15846188606902603,0.0,-1061016957.4693931,2.3,0.2716290073670856,1.1296837534383042e-05,False,8.28058191270277e-06,2.300025539937715,0.0
42.0,6,0,0,0.04352796175135016,2,2,47,0.1627906976744189,1.4912102010270238e-57,0.04116992817118087,0.04,0.06303169770054483,2.3099999999999996,0.27281000305129033,0.3346717725806543,0.15846188606902603,0.0,-1316290109.1996934,2.3,0.2716290073670856,1.106751302383524e-05,False,8.112487046471231e-06,2.3000250214798994,5.551115123125783e-17
42.0,6,0,0,0.04352796175135016,3,1,47,0.1627906976744189,1.4979210813787857e-28,0.04116969884667032,0.04,0.06303146837603428,2.3099999999999996,0.27281000305129033,0.3346717725806543,0.15846188606902603,0.0,-1061016957.4693931,2.3,0.2716290073670856,1.1296837534383042e-05,False,8.28058191270277e-06,2.300025539937715,0.0
42.0,6,0,0,0.04352796175135016,3,2,47,0.1627906976744189,8.901906515729977e-58,0.04116992817118087,0.04,0.06303169770054483,2.3099999999999996,0.27281000305129033,0.3346717725806543,0.15846188606902603,0.0,-1316290109.1996934,2.3,0.2716290073670856,1.106751302383524e-05,False,8.112487046471231e-06,2.3000250214798994,5.551115123125783e-17
